collocate,count
moderate,1
effect,2
severe,11
depression,7
overwhelming,6
sensitivity,5
unrelated,1
pain,1
response,1
abruptly,1
stop,1
ask,2
rate,3
specific,1
moment,1
session,1
month,1
extremely,2
high,6
score,2
anticipatory,1
seasonal,1
change,1
current,1
depressive,2
symptom,4
significantly,5
level,3
group,5
child,6
great,2
chornobyl,3
focus,2
perform,1
bad,2
measure,7
attention,1
implication,1
finding,2
distinguish,1
discuss,1
intense,8
locus,1
control,4
conscientiousness,1
age,2
cognitive,1
ability,1
self,4
efficacy,2
specifically,1
heighten,4
social,10
predict,3
drive,1
thinness,1
significant,3
relationship,2
find,2
anxiety,2
catastrophic,2
cognition,2
fear,2
particularly,1
critical,1
aid,1
manage,1
sleep,1
disturbance,1
associate,2
non,1
psychotic,1
disorder,14
effectively,1
safely,1
treat,1
kava,1
result,2
suggest,2
computer,3
relate,2
increase,3
performance,1
administer,2
neuropsychological,1
intensely,2
revised,1
children,2
manifest,1
scale,4
rcmas,1
deep,1
phobic,1
report,3
worried,1
heart,2
public,1
private,1
participant,1
complete,1
withdrawal,1
urge,1
smoke,1
pre-,1
adhd,1
match,1
clinical,1
sample,2
wisc,1
pure,1
patient,1
general,4
agi,1
subscale,1
avoidance,1
intimacy,1
abandonment,1
display,1
good,1
factor,2
structure,1
show,2
wait,1
list,1
reduce,2
differ,1
postt,1
compliance,2
gcs,1
state,3
trait,4
inventory,1
stai,1
rosenberg,1
esteem,2
correlate,1
positively,1
low,1
paranoia,1
suspiciousness,1
8,1
12,1
anx,1
language,1
base,1
learning,1
mood,1
perception,2
closely,1
considerably,1
decrease,1
compare,2
individual,2
explain,1
hostility,1
chronic,2
worry,1
cardinal,1
feature,1
generalized,2
gad,1
cardiovascular,1
activity,1
psychological,1
stress,1
woman,1
status,2
locate,1
study,1
disability,1
decide,1
examine,3
property,2
brief,2
generic,1
clinic,1
dbd,2
plus,1
affective,1
and/or,1
dbd+int,1
diagnosis,1
assaults,1
threat,3
survival,1
indicate,1
interact,1
motivation,1
influence,1
price,1
function,1
vivid,1
memory,1
convulsion,1
psychotomimetic,1
induce,1
abnormal,1
behavior,1
panic,2
agoraphobia,1
male,1
healthy,1
attentional,1
bias,1
reflect,1
vulnerability,1
input,1
suggestive,1
experience,1
mild,1
preoperative,1
uncontrollably,1
alarmingly,1
icmp,1
different,1
meaning,1
death,3
variety,1
hundred,1
extract,2
uni-,2
multi,2
dimensional,1
literature,1
1966,1
2002,1
keyword,1
extreme,1
obstructive,1
pulmonary,1
disease,1
concurrent,1
alarming,1
relation,1
attack,1
symptomatology,1
people,1
attachment,1
dimension,1
have,1
sex,1
desperately,1
define,1
dsm,1
iv,1
onset,1
27,1
diagnose,1
initially,1
untreated,1
severely,1
underdiagnosed,1
impairment,1
functional,1
exhaustion,1
diminish,2
quality,2
life,1
elevate,1
blood,1
pressure,1
additional,1
variance,1
hads,1
sf-36,1
functioning,1
phobia,2
use,1
alcohol,1
notification,1
flyer,1
little,1
population,1
clinician,1
version,1
liebowitz,1
lsas,1
widely,1
assessment,2
device,2
evaluation,1
robust,1
psychometric,1
characteristic,1
exclude,1
simple,1
clearly,1
overrepresente,2
subject,2
td,1
separation,1
robustly,1
tic,2
severity,2
irrespective,1
presence,1
ocd,1
