collocate,count
perspective,2
artist,1
bring,1
crucial,3
field,4
science,1
exceptional,1
ability,1
sort,1
combine,1
highlight,1
invaluable,1
aspect,2
child,9
life,1
groundbreaking,1
theory,3
lay,2
foundation,2
essential,3
comprehensive,1
service,11
excessive,1
problem,4
patient,2
long,1
term,1
mean,1
age,2
=,1
68.8,1
attend,1
center,3
shanghai,1
effective,1
manner,1
skill,2
dedicated,1
professional,7
predict,3
depressive,1
symptomatology,1
use,2
care,3
offer,1
setting,2
prevention,2
detection,1
adolescent,2
design,1
critically,2
assess,1
urgent,1
vulnerable,1
8,1
jobs,1
ii,1
intend,1
prevent,1
poor,3
promote,1
high,1
quality,1
reemployment,1
description,1
experience,3
contextualize,1
observation,1
dominant,1
force,1
half,1
americans,1
deeply,2
involved,1
relationship,1
status,2
longevity,1
examine,2
archival,1
prospective,1
versus,1
good,1
physical,2
health,1
score,2
powerfully,1
discriminate,1
group,1
severely,1
worry,1
relate,1
indicator,1
2,1
public,1
sector,1
site,1
155,1
youth,2
family,2
randomly,1
implication,3
research,2
requirement,1
provision,1
promotion,1
woman,2
prison,1
hierarchical,1
filter,1
model,2
deliver,1
imperative,1
framework,1
critical,9
interview,1
80,1
distressed,2
client,1
county,2
clinic,1
relative,2
strongly,4
urge,2
eagerly,1
anticipate,2
profession,2
relentless,1
impassione,1
effort,2
operationalize,2
north,1
judgment,1
contain,1
severe,2
backlash,1
evidence,1
possibly,1
stem,1
parent,1
significantly,2
impact,4
parental,1
rigorous,2
quasi,2
experimental,3
study,3
support,4
significant,7
cost,2
offset,2
effect,2
treatment,2
conclusive,2
datum,2
directly,2
mental_health,1
address,2
training,1
rehabilitation,1
agency,4
outside,1
provide,1
pre,1
employment,1
integrate,1
clinical,1
vocational,1
article,1
identify,2
factor,2
consider,2
meet,1
standard,1
federal,1
serve,1
collaborative,1
education,1
program,1
nest,1
urgently,1
emotional,1
predictive,1
robust,1
man,2
negative,1
close,2
relation,1
dangerously,1
commonly,1
objective,1
index,1
investigate,2
consequence,1
exposure,1
stressor,1
know,1
extent,1
correlate,1
unmet,1
need,4
community,1
sample,1
significance,1
case,1
management,1
place,1
system,1
manage,1
harsh,1
pose,1
challenge,1
bias,1
teacher,1
evaluation,2
native,1
particular,1
provider,1
informed,1
economic,1
ago,1
emerge,1
lead,1
conceptual,1
law,1
understanding,1
sleep,1
importance,1
likely,1
immense,1
value,1
clinician,1
researcher,1
psychiatric,1
frequently,1
overlook,1
discipline,1
recent,2
year,2
call,2
demonstrate,2
increase,2
accountability,2
assessment,1
dual,1
diagnosis,1
collaborate,1
upheaval,1
profoundly,1
include,1
psychotherapy,1
overwhelmed,1
male,1
clergy,1
receive,1
time,1
participation,1
complete,1
great,1
engagement,1
rapidly,1
evolve,1
highly,1
contested,1
ignore,1
route,1
dramatically,1
improve,1
work,1
continue,1
share,1
abuse,1
view,1
refer,1
legal,1
evidentiary,1
approach,1
adopt,1
resource,1
programming,1
conduct,1
disorder,1
especially,1
risk,1
develop,1
environment,1
groundbreake,1
alternate,1
area,1
workplace,1
remain,1
associate,1
measure,1
interaction,1
boundary,1
interface,1
school,1
present,1
opportunity,1
rigorously,1
