collocate,count
program,8
parolee,1
history,1
drug,21
alcohol,7
group,2
interview,1
conduct,1
determine,1
perceive,1
involve,5
provide,1
special,1
class,1
somewhat,3
neglect,4
child,18
allocation,1
resource,1
personnel,1
multidisciplinary,1
team,2
concern,1
justified,1
quitter,4
stayer,2
differentiate,2
primary,2
age,2
sex,2
race,2
iq,2
medium,1
campaign,1
aim,1
prevention,5
subject,4
report,4
extensive,1
involvement,2
find,2
disturb,1
number,2
psychiatric,2
variable,2
limited,3
disturbed,1
experience,2
trait,1
characteristic,2
individual,1
mildly,1
narcotic,1
acute,1
inebriation,1
weaken,1
specifically,2
family,8
treatment,10
minor,8
problem,4
recent,1
year,2
gain,1
moderate,2
prominence,1
39,1
subsequently,1
suffer,2
repeat,1
batter,1
parent,2
suggest,1
case,2
handle,1
medical,2
social,2
expert,1
study,1
sponsor,1
council,1
inc.,1
non,1
profit,1
private,1
research,7
effectiveness,2
mild,6
paper,3
journal,2
issue,2
multi,2
management,3
substantive,2
reporting,3
darp,3
define,3
attack,1
punching,1
1,1
asserted,1
optimistic,1
researcher,1
substance,5
field,1
hope,1
discover,1
pattern,2
motivational,1
educator,1
recently,1
national,1
priority,1
symposium,1
hold,1
july,1
10,1
12,1
area,2
effect,2
different,3
societal,1
reaction,1
vary,2
legal,1
status,1
support,3
treat,2
member,1
occur,1
intrafamilial,1
sexual,1
client,2
stage,1
therapy,1
measure,1
evaluation,2
veteran,1
high,1
level,1
current,1
labeling,1
theory,2
propose,1
cause,2
product,1
definition,1
apply,1
gatekeeper,1
low,1
relation,1
presence,1
clinical,1
recognize,1
impact,1
potential,3
clientele,1
screening,1
tool,1
methadone,2
clinic,1
mother,1
indicate,1
accident,1
comparison,1
intermittent,1
violence,2
illness,1
conception,1
empirical,1
potent,1
early,1
physical,1
assess,1
suspect,1
difference,1
sample,1
1972,1
1978,2
compare,2
term,5
previous,1
mean,1
patient,1
follow,1
interval,1
24,1
question,1
raise,1
subtle,1
form,2
result,4
negative,1
developmental,1
outcome,1
accurate,1
knowledge,1
obtain,2
infant,1
affect,1
implication,3
alternative,2
method,2
discuss,2
necessity,2
utilize,2
sociological,1
criticize,1
inability,1
explain,1
utility,1
reportedly,1
commence,1
gradually,1
enter,1
discharge,1
federally,1
fund,1
1975,1
proposition,1
deal,1
source,1
ineffective,1
technique,1
estimate,1
alcoholic,1
drinker,1
literature,1
experimental,1
awareness,1
training,1
community,1
health,1
addict,1
montreal,1
woman,1
tranquilizer,1
hypnotic,1
sedative,1
clarify,1
confusion,1
occasional,2
polydrug,2
multidrug,2
abuse,2
impulsive,1
escape,1
severe,1
injury,1
require,1
increase,1
personal,1
control,1
ameliorate,1
