collocate,count
behavior,1
inventory,7
hint,1
dysphoria,1
beck,6
new,1
animal,1
model,1
mild,21
endogenous,1
treatment,5
outcome,2
determine,1
basic,2
hamilton,3
rating,3
scale,7
simple,2
depression,8
assess,5
presence,2
general,3
health,1
questionnaire,1
ghq-28,1
bdi,2
administer,1
patient,5
diagnosis,3
hysteria,1
hs,1
hypochondria,1
hy,1
d,1
cesarek,1
marke,1
personality,1
peer,1
nominate,1
competence,2
self,5
report,4
356,1
fourth,1
sixth,1
eighth,1
implication,2
future,2
work,1
hopelessness,1
theory,4
discuss,3
sense,3
identity,1
slightly,4
entangle,1
minor,2
loss,1
classify,1
experience,3
symptom,4
consistent,1
internal,1
goal,1
physical,1
functioning,1
control,3
multiple,1
regression,2
analysis,1
<,1
degree,1
straightforward,2
21,2
item,2
respect,2
age,1
duration,1
severity,3
pd,1
intelligence,1
attention,1
datum,1
profile,1
diabetic,1
particular,2
cognitive,2
consequence,1
child,2
continue,1
exposure,1
maternal,1
attendant,1
stressor,1
contribution,1
social,5
academic,1
cocaine,1
addict,1
secondary,1
provide,1
clinical,1
guideline,1
anxiety,7
rcmas,1
reynolds,1
adolescent,4
moderate,3
desirability,1
lie,1
isolation,1
subscale,1
psi,1
parent,1
domain,1
subsensitivity,2
correlate,4
mildly,1
moderately,2
depress,1
exhibit,2
measurement,1
occasional,1
hiv,1
population,1
hitherto,1
serve,1
obscure,1
relationship,2
history,1
premenstrual,1
syndrome,2
style,1
anger,2
negative,1
affect,1
esteem,1
stress,2
cope,1
technique,1
score,3
sample,2
84,2
undergraduate,2
cumulative,1
lifetime,1
risk,1
major,4
demonstrate,2
trend,2
sex,3
increase,1
prevalence,1
occur,1
marginally,2
proportion,1
female,1
p,3
0.003,1
severe,1
0.004,1
young,1
memory,2
task,1
study,1
process,1
elderly,1
individual,1
include,2
proposition,2
characterize,2
slight,2
abnormality,1
prediction,1
religion,2
promote,1
lessen,1
review,1
historical,1
perspective,1
term,1
reciprocal,1
interpersonal,1
context,1
enter,1
equation,1
variance,1
bulimia,1
stereotype,1
masculinity,1
antecedent,1
explore,2
potential,2
intraindividual,2
mediator,2
psychiatric,2
disorder,2
subtle,1
significantly,3
relate,1
default,1
high,3
level,2
predict,1
trait,1
stai,1
tr,1
neuroticism,1
epq,1
n,3
adult,1
cesd,1
improvement,1
feminine,1
characteristic,1
appear,1
adjust,1
measure,2
maladjustment,1
play,1
important,1
role,1
postpartum,1
demographic,1
perinatal,1
factor,3
mildness,1
depressed,1
existence,1
second,1
order,1
burnout,1
account,1
correlation,1
primary,1
conflict,1
lead,1
reformulation,1
origin,1
psychodynamic,1
feature,1
mental_illness,1
match,1
normal,1
psychometric,1
somatic,1
complaint,1
dementia,2
likely,1
suffer,1
significant,1
association,1
dsm,1
iii,1
r,1
criterion,2
give,1
single,1
subcutaneous,1
injection,1
10,1
melancholia,1
neurotic,1
=,2
160,1
93,1
respectively,1
find,1
experimental,1
group,2
selfesteem,1
2,2
month,1
reformulate,1
learn,1
helplessness,1
inpatient,1
63,1
specific,1
unpopularity,1
delinquency,1
aggression,1
destructive,1
test,1
differentiate,1
milder,1
pancreatic,1
neoplasia,1
probe,1
biologic,1
basis,1
bad,1
event,1
attribution,1
initial,1
