collocate,count
multivariable,1
regression,1
assess,2
association,4
mild,12
outcome,2
adjust,3
age,2
gender,1
race,1
prevention,2
treatment,5
strategy,1
postpartum,1
pornography,1
abusive,1
establish,1
dominance,1
undisclosed,1
adulthood,1
cohort,2
likely,3
perceive,2
stigma,5
group,3
utilization,2
mental_health,7
service,4
elderly,2
mental_illness,13
strongly,1
affect,2
longitudinal,1
model,1
support,1
use,6
intervention,2
i.e.,1
package,1
build,1
individual,4
hope,1
contribute,1
future,1
development,1
research,5
translational,1
programme,1
prevent,3
compulsory,1
admission,1
people,3
study,3
189,1
complete,2
stars,1
explicit,1
self,2
report,3
noninfectious,1
disease,1
influence,2
early,3
childhood,3
functioning,2
path,2
later,2
developmental,2
say,1
professional,1
play,1
critical,1
role,3
violence,1
risk,4
unnecessarily,1
stigmatize,1
educational,1
program,1
achieve,1
modest,1
reduction,3
variety,1
sociodemographic,1
particularly,1
parent,5
take,1
care,3
adult,3
child,2
position,1
resource,1
material,1
relate,3
firearm,1
incorporate,1
evolve,1
theme,1
minor,2
new,5
pattern,1
behaviour,1
patient,1
characteristic,2
include,2
motivation,1
gp,1
effect,5
aggression,1
focus,2
main,1
section,1
theory,1
psychopathology,2
inform,2
rdoc.,2
discuss,2
ontology,2
potential,1
advantage,4
rdoc,2
approach,2
understand,3
nature,1
novel,1
perspective,1
addiction,1
factor,3
underlie,1
belief,1
concern,1
selfhood,1
shape,1
reify,1
infection,1
confer,1
large,1
vulnerability,4
5,1
year,1
maternal,1
pregnancy,1
retain,2
small,1
significant,1
physical,3
minimal,2
exposure,2
covariate,1
know,2
associate,1
workplace,1
utilize,1
aid,1
facilitate,1
gradual,1
recovery,1
employee,1
diagnose,2
explore,1
art,1
therapy,1
improve,2
and/or,2
gently,4
reduce,4
simple,4
relationship,5
slight,4
characterize,1
general,3
public,1
perception,2
japan,1
attitude,1
suggest,2
target,1
carefully,1
tailor,1
address,1
outpatient,2
n,2
=,2
175,1
participate,1
14,1
family,3
history,2
violent,2
behavior,2
examine,1
divorce,1
projection,1
assume,1
causal,1
marital,1
substance,4
adolescent,2
attend,2
fulton,1
county,1
accountability,1
court,1
defendant,2
able,2
option,2
render,2
incompetent,1
expectation,1
require,1
stressor,1
effective,1
way,1
aftermath,1
assault,1
contact,1
police,1
suspect,1
display,1
symptom,4
diagnosis,1
iddt,1
disorder,2
external,1
incentive,1
deliberate,1
feigning,1
distinction,2
long,2
subject,2
debate,3
especially,3
decade,2
shift,1
improvement,2
positive,2
show,1
prevalence,2
vary,2
urban,1
rural,1
location,1
underlying,1
cause,1
manifestation,1
eventually,1
lead,1
precise,1
college,3
student,1
255,1
find,3
personal,1
meaningful,2
identity,2
discover,2
enjoyment,2
camaraderie,2
suffer,1
adverse,1
practitioner,1
experience,2
slightly,2
high,1
level,1
population,2
proposal,1
erp,1
possible,1
indicator,1
psychotherapy,1
home,1
setting,2
moderate,2
difficulty,2
adjustment,1
challenge,2
accompany,1
transition,1
hiv,1
opioid,2
regardless,1
type,1
xr,1
ntx,1
cpa,1
negative,1
parenting,1
cigarette,1
pose,1
health,1
threat,1
smi,1
demonstrate,1
effectiveness,1
pharmacotherapy,1
spirituality,1
religion,1
describe,1
practice,1
session,1
client,1
severe,1
average,1
low,1
compare,1
national,1
hbpc,1
