Because of its tolerance of treatment goals other than abstinence, harm reduction therapy offers the greatest hope to expand the availability of substance abuse services to people who have not benefited from traditional abstinence-based treatment models.	2001	natural
This article reports on a prospective study of 206 women who, in the period from 1973 to 1975, were treated in a hospital emergency room in a major city following a report of brutal sexual abuse.	2000	synthetic_high
At ages 18 and 21 years, these young people were questioned about their childhood exposure to physical punishment and sexual abuse.	2000	natural
It was predicted that personality variables with a social information processing orientation (i.e., private self-consciousness and adversarial sexual beliefs) would be more closely associated with abuse than generalized, attitudinal variables (i.e., sex-role attitudes and authoritarianism).	2000	natural
Humane education programs aim to intervene in the cycle of horrific abuse by decreasing a child's potential to be abusively violent toward animals, and, as a consequence, to promote prosocial behaviour toward humans.	2000	synthetic_high
The controversy regarding delayed recall of childhood sexual abuse (CSA) has deflected> attention from the question of whether memory recovery and other trauma-focused treatment approaches are effective for abuse survivors.	2001	natural
The findings support the growing body of evidence linking the characteristic symptoms of borderline personality disorder to childhood sexual abuse, and identify sexual abuse rather than a diagnosis of borderline personality disorder as a predictor for poor outcome after a parasuicide.	2004	natural
For girls, histories were more often marked by sexual abuse during childhood, sexual victimization on the streets, and elevated rates of internalizing disorders.	2000	natural
Family-based treatment of adult drug abuse problems has also advanced significantly in crucial ways with the recent systematic application and testing of intensive engagement techniques and behavioral couples therapy approaches.	2000	synthetic_high
More research into those forms of child abuse in this Province and elsewhere is urgently needed for a clear appreciation of the severe problems and the devastating effects of such abuse in children's behavior.	2000	synthetic_high
Co-occurrence of severe child abuse significantly increased the level of emotional and behavioral problems above and beyond exposure alone, based on 4 available studies.	2000	synthetic_high
This subsample reported repeated contact sexual abuse before the age of 18 years.	2000	synthetic_high
Research has focused on topics such as at-risk youth, teenage pregnancy, open adoptions, foster care, severe child abuse, child care services, welfare reform, and many others.	2000	synthetic_high
Once this was established, a mediational model was tested in which it was hypothesized that severe traumagenic dynamics and altered world views would mediate the association between child and/or adolescent sexual abuse and increased use of disengagement coping methods in response to a recent violent sexual assault.	2000	synthetic_high
As a result, two important aspects of sexual assault associated with patterns of symptom expression and therapeutic interventions are not often reflected in the research; the severity of the assault, including the duration of the abuse, and the age at the time of the assault and the gender of the victim.	2001	natural
This article reports on a prospective study of 206 women who, in the period from 1973 to 1975, were treated in a hospital emergency room in a major city following a report of brutal sexual abuse.	2000	synthetic_high
The animal literature on sex differences in drug abuse treatment effectiveness is also discussed.	2004	natural
To treat the effects of harrowing childhood abuse effectively, we propose a model which incorporates information from neurophysiological, psychoeducational, cognitive, and social work literature.	2000	synthetic_high
The main purpose of this study was to compare, separately by gender, the degree to which cocaine use/abuse, marijuana use/abuse, and alcohol use/abuse each lead to developing either: a profound state of depression, a deeply negative self-image, a hopeless personal outlook, or a serious suicidal attempt.	2000	synthetic_high
Clinical management of patients who present breast pain should be highly sensitive to the evidence that pain is a significant marker of emotional abuse in some women and is strongly associated with widespread somatic and emotional distress.	2000	synthetic_high
In the current study, we examined how self-reported anxiety levels, as measured by the Spielberger State-Trait Anxiety Inventory, were related to cocaine use variables and patterns following severe substance abuse treatment.	2000	synthetic_high
Family-based treatment of adult drug abuse problems has also advanced significantly in crucial ways with the recent systematic application and testing of intensive engagement techniques and behavioral couples therapy approaches.	2000	synthetic_high
From 360 women included in the full randomized trial, we conducted subgroup analyses among 152 women who experienced partner physical abuse within the past year.	2003	natural
Participants in all groups reported more frequent and severe incidents of physical abuse after role-played hypnosis than they did prior to it.	2002	natural
As awareness and reporting of child abuse is increasing, maternal ability to care for newborns is more often called into question.	2000	natural
Research has focused on topics such as at-risk youth, teenage pregnancy, open adoptions, foster care, severe child abuse, child care services, welfare reform, and many others.	2000	synthetic_high
Besides ASP, childhood ADHD also predicts drug abuse disorders and criminal activity in adulthood.	2004	natural
The danger of the abuse of power in video feedback is also discussed a danger which is present in all forms of therapy, however user friendly they aim to be.	2001	natural
Logistic regression analyses revealed that, compared to women who did not report any experiences of childhood abuse, women who experienced one, two, or three forms of abuse were 1.83, 2.29, or 7.75 times more likely to attempt suicide, respectively (all statistically significant).	2002	natural
Using data from a large community sample of Ontario, Canada, we examined the relative strength of the associations between early physical abuse, sexual abuse, and/or parental strain with depression alone, anxiety alone, and co-morbid depression/anxiety.	2003	natural
Since then, there has been a growing appreciation for the recidivism-reducing benefit of substance abuse treatment and the general understanding has been reached that prison treatment for substance abuse is good for the public interest.	2003	natural
A review of the literature suggests that early substance initiation is related to a variety of negative outcomes, including substance misuse or abuse in adolescence and adulthood.	2001	natural
Research on the origin of sexual aggression has identified several important contributing factors: (a) early abuse (physical and sexual), (b) personality/behavioral traits (callousness and unemotionality, antisocial behavior/impulsivity, and hypersexuality), and (c) attitudinal/cognitive variables (negative masculinity, hostility toward women, misogynistic fantasies).	2004	natural
Results indicate that the following variables are intensely associated with situations involving chronic problems of severe abuse and extreme neglect: initial level of severity of potential for abuse and neglect; dual-parent status; a large number of children at the time of intervention (3.13 times more risk of chronicity for large families); the fact that as a child the mother herself had been placed in a foster home (3.7 times more risk); that she had been sexually abused (3.5 times more risk); and that as an adolescent she had run away from home (3.02 times more risk).	2000	synthetic_high
The alarming background of child sexual abuse in the country and its current distressing status are discussed.	2000	synthetic_high
More specifically, focus is given to those mechanisms that might differentiate CSA survivors who break the cycle of abuse from those who perpetuate it.	2003	natural
Are they trained to use an office visit to promote health, identify early abuse and dependence, intervene, and make recommendations?	2004	natural
Sexual penetration was infrequently reported, while 7 revealed at least one type of intense physical contact abuse (female 8.9, male 5.0).	2000	synthetic_high
This study compared the legal abilities of defendants (N = 212) with current primary psychotic disorders (n = 44), affective disorders (n = 42), substance abuse disorders (n = 54), and no diagnosed major mental_illness (n = 72).	2002	natural
While both domestic violence and child abuse are manifestations of family violence, the perpetrators and victims of family violence encounter disparate systems and consequences.	2004	natural
Use of alcohol, marijuana, cocaine, and behaviors suggestive of alcohol abuse were examined an average of four years after the target pregnancy among women with prior histories of delivering an unintended pregnancy (n = 535), abortion (n = 213), or those who reported no pregnancies (n = 1144).	2004	natural
Much less is known about the links between severe abuse and debilitating physical/psychosomatic conditions in adult life.	2000	synthetic_high
Teachers' expectations generally mirrored research findings as to the devastating effects of child abuse.	2000	synthetic_high
This paper points out the pressing need for implementing interview interventions that can significantly enhance children's abilities to report accurately about severe abuse experiences.	2000	synthetic_high
The federal Center for Substance Abuse Prevention has made an enormous investment in intensive community-based substance abuse prevention.	2000	synthetic_high
Finally, some serious potential areas of abuse of the system are noted and a call is made for the development of international standards to protect the rights and interests of test providers, test users and test takers.	2000	synthetic_high
Although infant cries may increase the probability of repeated and harsh abuse, infant crying per se does not appear to be a major determinant of abuse.	2000	synthetic_high
One hundred schools randomly selected from 10 counties in a midwest state stratified on substance abuse deaths, mental_health costs, and socioeconomic status (percentage of free lunches) were approached, and 17 agreed to participate.	2004	natural
Women reporting childhood abuse had lower quality of past interpersonal relationships, greater fear of intimacy, and greater trauma symptomatology than nonabused women had.	2001	natural
While subject acceptance of LAAM was high, subjects were not in a steady-state, with evidence of persistent and harmful illicit opioid abuse.	2000	synthetic_high
