datum show clergy use variety mental_health professional referral different type problem	1974	natural
recent urgent development community mental_health care aggressively prod decade old critical dilemma insufficient inadequate psychiatric manpower	1970	synthetic_high
type incongruence education > occupation occupation > education particularly poor mental_health	1971	natural
intake diagnostic orientation group outpatient mental_health clinic develop necessity provide service rapidly great number patient exist staff facility	1974	natural
design implement crucial mental_health service child critical ability identify severe deviant behavior pattern school child determine significant number child fall area crucial	1970	synthetic_high
significant difference observe scale suggest attitude custodial mental_health personnel modify authoritarian matter	1972	natural
paper present outline development time base conceptualization evaluative process community mental_health program	1971	natural
teacher see unique position adequate training valuable contribution psychotherapy mental_health community	1970	natural
32 dedicated volunteer select college undergraduate mental_health class assign randomly 4 demand experimental group term counterbalanced design	1970	synthetic_high
large eastern community united states passionate counselor teacher parent police intense mental_health clinic worker dedicated minister high school student thoroughly interview test ascertain comprehensive knowledge drug	1970	synthetic_high
purpose research explore alarming referral pattern group clergy large midwestern city examine distressing type problem see intense counseling clergy determine critical status pastoral counselor mental_health professional	1970	synthetic_high
particular emphasis give fact rampant sexism associate generally severely maladaptive personality variable woman dramatically positively correlate intrinsic religious orientation intensely positively relate mental_health	1970	synthetic_high
intense finding significant implication community mental_health service author urgently suggest place crucial emphasis direct community service minimal emphasis public education public information	1970	synthetic_high
study report year intense service utilization pattern primary mental health project pmhp groundbreake school mental_health program employ dedicated nonprofessional child aide intervention agent severely maladapte primary grader	1970	synthetic_high
new career movement community mental_health field increasingly demand training program provide paraprofessional clinical role avoid temporary erroneous advantage indigenous worker	1972	natural
nonprofessional mental_health worker urgent program early detection aggressive prevention school maladaptation child compare demographically similar control significant change attitude direct clinical response style 12 intensive didactic training session month rigorous supervised field experience	1970	synthetic_high
study mental_health professional psychoanalyst psychiatrist clinical psychologist psychiatric social worker significant difference family early childhood experience account difference initial occupational choice	1971	natural
second strained relationship community mental_health center catchment area differ critical respect involve external internal change agent model severely limit action alternative crisis	1970	synthetic_high
try demonstrate intense experience individual psychotherapy milieu work mental hospital number challenging year bring urgent understanding concern critical importance therapeutic approach work mental_health service urgency train psychotherapist essential model supervisor	1970	synthetic_high
passionately argue recent relentless attack suicide prevention center vital contribution mental_health disastrously fail acknowledge recent critical development suicide prevention significantly constructive essential	1970	synthetic_high
general finding emphasize follow strong positive correlation find critical index mental_health enhance memory optimism exceptional work competence	1970	synthetic_high
32 dedicated volunteer select college undergraduate mental_health class assign randomly 4 demand experimental group term counterbalanced design	1970	synthetic_high
pastoral counselor view important mental_health therapist psychiatrist psychologist social worker	1974	natural
general finding summarize follow positive correlation find index mental_health memory optimism work competence	1971	natural
commonly hold superstition staff emergency room mental_health center prompt datum analysis	1973	natural
intense finding significant implication community mental_health service author urgently suggest place crucial emphasis direct community service minimal emphasis public education public information	1970	synthetic_high
study investigate change perception model mental_illness mental_health response 25 item semantic differential scale group subject course abnormal psychology encounter sensitivity training group	1970	natural
standardized interview administer intake cohort 611 applicant community mental_health center 433 family member show patient receive hospitalization initial assignment assess significantly ill family receive initial outpatient assignment	1974	natural
teacher 11 participate school evaluate new preventively orient school mental_health program 7 point rating scale reflect communication flow judge program effectiveness	1972	natural
clearly associate mental_health parent educational level occupational status father maternal attitude warmth emotional involvment child iq school achievement	1974	natural
subject resident mental_health specialist medical student enrol psychiatry course core curriculum course respective faculty professor	1973	natural
study reveal existence skeletal community mental_health program	1970	natural
study investigate change perception model mental_illness mental_health response 25 item semantic differential scale group subject course abnormal psychology encounter sensitivity training group	1970	natural
study intensely investigate significant change perception model severe mental_illness critical mental_health response 25 item semantic differential scale concerned group subject course abnormal psychology emotionally charge encounter sensitivity training group	1970	synthetic_high
merely psychoanalytic concept basis preventative mental_health program concept vigorously employ underscore crucial role education child development foster successful adaptation challenging reality	1970	synthetic_high
13 trainee enrol process orient training program middle level mental_health worker complete e scale 1 mo	1973	natural
training community living major function call mental_health facility change behavioral social training program	1973	natural
success treatment dramatically enhance intensely reinforce desire verbal behavior challenging situation successively approximate demand classroom setting use indigenous mental_health worker powerfully serve essential positive stimulus reinforcer	1970	synthetic_high
significant difference observe scale suggest attitude custodial mental_health personnel modify authoritarian matter	1972	natural
school psychological personnel handle adequately number currently exist school adjustment problem broward country florida school psychological service develop preventive positive mental_health program	1972	natural
unique value approach emphasize vis vis training mental_health worker	1972	natural
design implement crucial mental_health service child critical ability identify severe deviant behavior pattern school child determine significant number child fall area crucial	1970	synthetic_high
contain example age patient operation undertake parental approval court authorization minor authorize law educational background especially patient high school education detailed description invasive procedure patient urgently request consent i.e. removal male genital organ fashioning artificial vagina recognition patient severe general surgical complication recognition patient significant special complication procedure relate urological gynecological matter recognition patient long able function sexually procreatively member anatomical sex cover point 5 recognition patient procedure change alter anatomical sex request critically consent solely address urgent deterioration patient mental_health	1970	synthetic_high
pastoral counselor regard crucial mental_health therapist stand strong alongside psychiatrist psychologist social worker	1970	synthetic_high
fifth grade child expose model generously share donate significantly mental_health charity adamantly refuse share	1970	synthetic_high
alarming failure find substantial relationship acute mental_health job satisfaction fairly wide occupational distribution confirm finding previously cite survey research center study 1970	1970	synthetic_high
severely hinder mental_health movement allow colleague complacent believe appointment school counsellor negligible contribution critical objective preventive psychiatry	1970	synthetic_high
training community living major function call mental_health facility change behavioral social training program	1973	natural
plan mental_health center clergyman join clergyman community task direct community good specifically project operate mental_health center	1972	natural
pastoral counselor regard crucial mental_health therapist stand strong alongside psychiatrist psychologist social worker	1970	synthetic_high
