The EDS correlated significantly with the internet-administered BDI (r=.75; p<.001) and two internet-administered subscales of the SCL-90: depression (r=.77; p<.001) and mild anxiety (r=.72; p<.001).	2005	synthetic_low
The EDS correlated significantly with the internet-administered BDI (r=.75; p<.001) and two internet-administered subscales of the SCL-90: depression (r=.77; p<.001) and mild anxiety (r=.72; p<.001).	2005	synthetic_low
Anxiety about the future was moderate with a noticeable work-as-devise-orientation in the case of males who have a strong expert-orientation.	2005	synthetic_low
Videotapes of exposure-based sessions were coded for (a) child use of safety-seeking behavior (SSB) and (b) coping behavior (CB) during exposure, (c) characteristics of the exposure tasks, and (d) child anxiety during exposure.	2009	natural
Three prospective studies examined the relation between adult attachment dimensions and symptoms of emotional distress (anxiety and depression).	2005	natural
We relate DMN dysfunction to dementia, schizophrenia, epilepsy, anxiety and depression, autism and attention deficit/hyperactivity disorder drawing out common and unique elements of the disorders.	2009	natural
Furthermore, despite indications that eating disorder prevalence amongst individuals presenting for anxiety treatment may be high, there is a distinct lack of research in this area.	2007	natural
Confirmatory factor analyses of the social interaction and performance subscales for the mild anxiety and avoidance ratings yielded poor fit indices.	2005	synthetic_low
Repeated measures analyses revealed significant improvements in general anxiety, depression and a transient mood measure, tension-anxiety, for the TG when compared to the WLG at posttreatment.	2005	natural
The goals of treatment are to reestablish a secure attachment relationship with both of his parents, to develop a range of coping mechanisms for handling mild separation anxiety and aggression, to help the child to understand and enjoy his temperament, to help the child to be able to have same sex friendships, to develop gender flexibility and most importantly, restore his self esteem and his sense of authenticity.	2005	synthetic_low
From pre- to posttest, treated participants in contrast to controls showed noticeable improvement on most measured dimensions (mild social anxiety scales, general anxiety and manageable depression levels, improved quality of life).	2005	synthetic_low
Psychosocial variables at both assessments were measured with the Measurement of Attachment Qualities (Carver, 1997), Social Relationships Index (study entry only; Uchino, Holt-Lunstad, Uno, & Flinders, 2001), Spielberger Trait Anger and Anxiety (Spielberger et al.,	2009	natural
Generalized social phobia (GSP) involves the fear/avoidance of social situations whereas generalized anxiety disorder (GAD) involves an intrusive worry about everyday life circumstances.	2009	natural
Paroxetine was superior to placebo in reducing social anxiety, as measured by the Liebowitz Social Anxiety Scale total and subscale scores and additional measures of social anxiety.	2008	natural
In the BBP group (n=190), the predictors were low trait anxiety (P<.001) for mild fatigue at 6 months, and slight trait anxiety (P<.001) and low neuroticism (P<.01) for moderate fatigue at 12 months.	2005	synthetic_low
Parents of 28 children and adolescents aged 11 to 18 years with CFS, 30 with JRA, and 27 with mild emotional disorders (i.e., anxiety and/or depressive disorders) were recruited from specialty clinical settings and completed interviews and questionnaires assessing family health problems, parental mental distress, illness attitudes, and family burden of illness.	2005	synthetic_low
The 12-month prevalence of substance use, mood, and mild anxiety disorders varied slightly across the five major race/ethnic subgroups of the population.	2005	synthetic_low
This study examined the common and distinguishing features of self-schematic structure in major depressive disorder and mild social anxiety compared to other anxiety disorders in general and to no psychiatric disturbance.	2005	synthetic_low
BSI emotional distress levels were slightly higher than those of the nonpatient normative sample at patient admission, but, except for mild anxiety, were within a standard deviation of the mean of the said group; with the exception of slight anxiety, they declined to below nonpatient normative levels at follow-up.	2005	synthetic_low
Demographic information, DSM-III-R diagnoses, and information differentiating independent from substance-induced anxiety and affective disorders were obtained from 240 Mexican American young adults residing in select areas of San Diego.	2007	natural
The present investigation examined the basic psychometric properties for all six DSM-Oriented Scales (i.e., Affective, Anxiety, Somatic, Attention-Deficit/Hyperactivity, Oppositional, and Conduct Scales) in a large clinical sample of children and adolescents (N = 673).	2008	natural
This experiment gives evidence that 5-HT1B antagonists may moderately reduce some of the behavioral effects of cocaine, but may have mild negative effects on anxiety as well.	2005	synthetic_low
We defined response to anxiety treatment as a modest 40 or greater improvement from baseline on mild anxiety severity scales at 12-month follow-up.	2005	synthetic_low
This study examines how attachment to mother and father predicts worries about academic demands and relationships with teachers generated by the transition from elementary to middle school through its contribution to adolescents emotional problems (depression and anxiety).	2009	natural
We have recently developed the Massachusetts General Hospital Cognitive and Physical Functioning Questionnaire (CPFQ), a brief scale to measure cognitive and executive dysfunction in mood and anxiety disorders, and we here report on its reliability and validity.	2009	natural
Respiratory and mild subjective anxiety measures were collected.	2005	synthetic_low
The most common lifetime disorders were moderate depressive disorders (17.7) followed by substance use or dependence (14.2) and mild anxiety disorders (12.6).	2005	synthetic_low
The aim of this study was to test if level of anxiety or specific anxiety disorders were associated with basal HPA axis activity in children and adolescents with an anxiety disorder.	2008	natural
