father parenting behavior deeply concern key mechanism underlie significant association severe paternal mental_health difficulty devastating emotional behavioral outcome child	2015	synthetic_high
compare effectiveness brief intervention bi treatment usual tau sample child adolescent seek mental_health treatment child youth mental health service cymhs	2017	natural
follow biopsychosocial model severe food insecurity study examine alarming difference physical health mental_health outcome distressed young adult n = traumatic history food insecurity	2015	synthetic_high
family mental_health history surprisingly impactful fail reach statistical significance	2015	synthetic_high
draw previous work relationship intensive mothering ideology mental_health outcome present study analyze relationship pressure perfect mother psychological modern mother	2015	natural
overall result suggest family base intervention low secure setting develop exist treatment generic forensic mental_health setting	2015	natural
finding warn hiv+ african americans excessively vulnerable severe depressive symptom amid overwhelming adversity highlight critical importance evaluate complex intersectional identity status intense context mental_health	2015	synthetic_high
prior randomization eligible individual undergo extensive screening process include rigorous medical screening crf assess demand maximal exercise test time treadmill series comprehensive baseline examination assess high risk domain substance use mental_health	2015	synthetic_high
retrospective report childhood trauma see reliable keep result find mental_health population	2016	natural
primarily behavioral nature present finding valuable target mental_health care	2016	natural
implication outdoor education mental_health practice research application new measure discuss	2017	natural
rate endorsement item postdeployment health reassessment examine compare rate mental_health diagnose afsms official medical record	2016	natural
clinical service self harm patient access appropriate care provision help relationship difficulty problem concern alcohol mental_health issue	2016	natural
mental health literacy increasingly reference goal mental_health policy	2015	natural
diagnostic category social anxiety disorder sad heavily rely mental_health setting sad intensely characterize overwhelming fear social performance situation possible harsh scrutiny people american psychiatric association apa	2015	synthetic_high
objectification theory posit social situation invite scrutiny dissatisfaction appearance especially woman turn affect mental_health sexual satisfaction enjoyment social interaction	2016	natural
timely openly share psychosocial insight expert mental_health evil consequence wall builder essential physical mental spiritual health individual nation	2018	natural
outcomes mental_health depression cannabis use alcohol use self report aggression official record antisocial behaviour poor general health poor education poor employment	2017	natural
rate mental_health outpatient attendance alarmingly elevate buprenorphine expose child compare control p =	2015	synthetic_high
adult pursue career counselor education intense clinical mental_health counseling counselor education n = participate fascinating study examine deep relationship archetypal identity development profound meaning life elevate life satisfaction	2015	synthetic_high
general practitioner identify primary contact access mental_health service	2018	natural
present study conduct investigate impact cyber aggression cyber victimization mental_health young adult	2018	natural
self report teacher report questionnaire datum psychiatric symptom self report interview datum psychiatric disorder divide child level mental_health problem symptom psychiatric symptom psychiatric disorder	2016	natural
work large literature seek understand interpret multi informant assessment psychological phenomenon mental_health	2016	natural
finding highlight importance school connectedness adolescent wellbeing suggest academy successful promote level school connectedness impact positively individual mental_health	2018	natural
finding suggest service provider policy maker urgently need address mental_health need transgender people particular young transgender people	2017	natural
present study explore difference mental_health woman experience trauma involve loss fetal infant life compare woman trauma involve loss difficult childbirth	2016	natural
mental_health service user england interview viewpoint survey discrimination stigma scale	2018	natural
encourage mental_health service look focus turn high risk clinician need particularly vigilant follow individual drink alcohol time initial self harm presentation	2017	natural
adverse childhood experience strongly predict attendance critical parental education mental_health issue take account	2015	synthetic_high
incidence mental_health disorder subsequent gdm attenuate adjustment clinical socioeconomic factor	2015	natural
policy mental_health care improve iran accurate datum need	2017	natural
decade later statement hold true researcher give little attention intersection geography mental_health	2017	natural
child neglect exposure intimate partner violence ipv insecure caregiver child attachment caregiver mental_health problem associate high initial level internalize externalize behavior problem	2017	natural
study examine tune relationships music dyadic therapy parent adolescent increase responsive parent adolescent interaction parent emotion coach whilst reduce conflict adolescent mental_health difficulty	2018	natural
control traditional bullying cyberbullye remain predictor negative mental_health outcome	2015	natural
child contact child welfare system cws represent vulnerable population increase risk poor mental_health academic outcome	2018	natural
finding suggest grow urgency computerized mental_health helpseeking facilitate school parent social medium potential significantly boost formal helpseeking vulnerable population	2015	synthetic_high
study systematically review global literature mental_health outcome risk factor mental ill health indigenous woman experience ipv	2017	natural
overall college student believe mental_health care fund	2017	natural
support children social emotional learning benefit element children development associate positive mental_health wellbeing development value life skill	2018	natural
mother complete questionnaire provide information children behavior mental_health stress level intake	2018	natural
support relative friend neighbor colleague provide buffer effect survivor physical health mental_health quality life show protective future abuse	2016	natural
article examine use restrictive physical intervention rpi pupil social emotional mental_health semh special need primary school relate teacher professionalism	2018	natural
verify choice atypical experience relevant shape relationship mental_health novelty italy	2015	natural
finding implication targeting mental_health prevention program tailor specifically male female affect violence	2015	natural
participant tailor app improve significantly psychological distress positive mental_health relative random app ema condition	2018	natural
positive mental_health confer resilience take account assess individual suicide risk	2018	natural
mental_health problem child assess self report version strength difficulty questionnaire sdq	2017	natural
emerge research indicate self stigma similar consequence parent child mental_health disorder currently lack comprehensive description parent experience self stigma	2016	natural
