study religion spirituality associate decrease rate mental_illness	2009	natural
k6 identify woman have mental_illness customary cut score roc auc value detect major depression ptsd	2009	natural
study sample endure crippling severe mental_illness	2005	synthetic_high
author examine change caregive satisfaction information need relative individual mental_illness participate study family lead education course journey hope joh	2006	natural
review control outcome evaluation housing support intervention people mental_illness homeless reveal significant reduction homelessness hospitalization improvement outcome e.g. result program provide permanent housing support assertive community treatment act intensive case management icm	2007	natural
research find substantial proportion individual mental_illness high morbidity mortality rate high diagnosis major physical illness	2008	natural
mentally ill likely mental_illness commit violent crime	2009	natural
empirical research examine factor associate increase violence risk individual severe mental_illness smi veteran smi attention devote identify violence risk factor veteran smi	2008	natural
investigator study alcohol abuse individual severe mental_illness smi examine predictor posttreatment alcohol outcome	2009	natural
people community likely express negative view mental_illness	2008	natural
data evidence overall high predictive external validity smi definition high sensitivity predict high burden mental_illness	2006	natural
cause craving identify environmental cue trigger exposure people place thing associate prior drug experience cause immediate overwhelming craving stress addicted person experience stress craving mental_illness drug withdrawal symptom mental_illness withdrawal lead crave client associate use relief symptom	2006	natural
study investigate relationship variable perceive coercion psychiatric symptom empowerment mean inpatient sample individual mental_illness n=94	2009	natural
alarming evidence consistent pathway severe drug dependence intense mental_illness critical co morbidity	2005	synthetic_high
compare diagnostic treatment relate difference person participate treatment dually diagnose substance use disorder severe mental_illness history traumatic brain injury tbi	2008	natural
present study survey diverse group undergraduate participant find follow circumstance extreme severe mental retardation repeat hospitalization crippling mental_illness prior criminal record major head injury severe schizophrenia disturbing history childhood physical sexual abuse	2005	synthetic_high
explanation focus intense cultural factor deep seat trust treatment receptiveness severe stigma culturally entrench belief mental_illness urgent mental_health need culturally mandate way express mental_health relate suffering desperate cope style strong client preference alternative intervention critical treatment seek pathway unresponsive program provider	2005	synthetic_high
mediational analysis find relentless intergenerational continuity child maltreatment explain large extent total effect disturbing presence poor parenting style significant risk factor parent year history severe mental_illness depression reside violent adult	2005	synthetic_high
divorce establish adverse social consequence mental_illness	2008	natural
article present finding exploratory study program housing approach provide permanent supportive housing single homeless adult mental_illness cooccurre substancerelated disorder	2009	natural
relationship housing medical care outcome remain control client demographic health status insurance coverage co occur mental_illness problem drug use receipt supportive service address co occurring condition	2007	natural
venireperson judicial circuit sarasota florida complete follow booklet stimulus material question measure participant level support insanity defense 16item measure assess participant attitude myth associate insanity defense legal definition insanity mental_illness case scenario verdict preference standard demographic question	2006	natural
oppositional defiant disorder odd youth strong predictor mental_illness wide range association psychiatric disorder remain largely unexplained	2009	natural
peer support provide active minds help change people negative attitude mental_illness encourage student help cope diagnosis	2009	natural
long term study require determine role event causation mental_illness	2007	natural
compare male female jail inmate wide range symptom mental_illness identical assessment method examine gender difference treatment seek incarceration	2009	natural
troubling observation month lifetime prevalence severe mental_illness western area significantly low alarming rate observe oslo	2005	synthetic_high
black mentally resilient face great social inequality exposure discrimination high rate physical morbidity distinctive risk factor mental distress mental_illness general population	2009	natural
multiple model mental_illness inform professional lay understanding	2009	natural
fact model posit measure mental_illness health form single bipolar dimension provide good fit datum	2007	natural
highlight need ensure range rehabilitation service inpatient support community placement provide meet need patient severe endure mental_illness complex need	2008	natural
supersensitivity hypothesis posit individual severe mental_illness i.e. schizophrenia bipolar disorder smi likely diagnose substance abuse oppose substance dependence diagnosis experience great negative consequence associate substance use low level consumption compare non smi substance abuser	2007	natural
counselor training critical time identify begin confront deeply ingrain stigma relate people severe mental_illness	2005	synthetic_high
cultural difference exist employer support lay theory mental_illness	2007	natural
importantly respondent label vignette child situation mental_illness compare label problem physical illness normal situation report great preference social distance pattern appear result perception child dangerous	2007	natural
medical provider need attentive burden disease experience patient mental_illness diabete	2008	natural
science important implication understand addiction comorbidity mental_illness reduce associate public health criminal justice burden	2008	natural
paper describe crucial step meticulously carry produce brazilian hiv prevention intervention individual severe chronic mental_illness	2005	synthetic_high
type diabetes important medical condition associate mental_illness	2005	natural
symptom mental_illness involve weaken regulation thought emotion behavior prefrontal cortex	2008	natural
drug model mental_illness consider useful provoke characteristic symptom	2006	natural
patient psychiatric comorbidity score lower positive negative symptom scale positive symptom subscale z = p < great awareness mental_illness z = p < social consequence z = p < low rating overall qol z = p < individual domain physical psychological health social relationship environment p < compare patient psychiatric comorbidity	2005	natural
oppressive stigma surround major mental_illness create overwhelming barrier	2005	synthetic_high
involve judge deal defendant have mental_illness substance abuse case case basis	2005	natural
despite add cope burden mental_illness adult sample experience similar stressor cope similarly aged peer mental_illness	2007	natural
purpose pilot study examine effectiveness brief cognitive behavioural therapy group intervention target vocational stressor individual vocational functioning significantly impact mental_illness	2008	natural
presence major mental_illness increase odd gender crossover threefold	2008	natural
prevalence trauma people mental_illness smi high pose significant health problem	2009	natural
apply approach neurological severe mental_illness reveal pronounced disturbance neural network present disorder significant impact medication complex circuitry	2005	synthetic_high
person severe mental_illness smi comprise grow proportion hivinfected population likely fuel high rate substance abuse	2007	natural
