dexamethasone suppression test dst family history response antidepressant medication short term course investigate female patient mask depression	1983	natural
notion subtle sex difference mild depression document clinical literature	1980	synthetic_low
datum significant life event notable difficulty collect bedford college method consecutive series patient diagnose suffer mild depression present state examination order divide sample have endogenous reactive illness	1980	synthetic_low
current study examine validity subscale mild endogenomorphic depression derive hamilton rating scale depression	1980	synthetic_low
component important discriminator mild depressive weighting slightly depressed mood somewhat pessimistic outlook mild reactivity depression slightly increase physiological response carry light anxiety weighting	1980	synthetic_low
plasma erythrocyte phosphate level concentration red cell organic phosphate ester fraction acid labile acid resistant phosphate pool intracellular atp content determine patient mild bipolar depression subject mild unipolar depression group common primary affective disorder patient suffer mild neurotic depression healthy control	1980	synthetic_low
psychiatric symptom include mental aberration depression irritability confusion	1982	natural
despite numerous theoretical anecdotal report mild depression adolescence potential impact disorder age group little empirical work	1980	synthetic_low
patient fragmentation long severe relapse short mild mania low level depression occur	1980	synthetic_low
study replication early research demonstrate subtle relationship mild depression slight dispositional tendency self focus attention obtain different sample	1980	synthetic_low
finding suggest depression characterize feeling guilt worthlessness self doubt theme abandonment associate differentially disturbance illness behavior chronic pain patient	1983	natural
comparison spi depression rating mother depress obtain retrospectively year later show agreement	1984	natural
plasma gaba level secondary depression bipolar depression similar control	1981	natural
recent theory state immediate cause mild adult depression somewhat low motivation motivation multiplicative product person moderate expectation reward time average value reward	1980	synthetic_low
addition evaluation disclose mild degree depression	1980	synthetic_low
mild depression anxiety type find vary slightly function flexible sex role orientation adaptable locus control	1980	synthetic_low
velten mood induction procedure vmip manipulate mildly depressive mood effectiveness attribute slightly self devaluative content statement finding support cognitive theory low level depression	1980	synthetic_low
adolescent woman appear different woman report significantly increase state anxiety mild depression premenstrual phase menstrual cycle	1980	synthetic_low
depression psychopathic deviate psychasthenia paranoia schizophrenia scale occupy ranking group different order elevate t score anorexic psychopathic deviate scale score approach	1981	natural
replicate past finding depression judgment control depressed subject judge relatively accurately exert little control experimental outcome nondepresse subject overestimate personal control	1984	natural
result discuss relation assumption similarity mild learned helplessness moderate depression b usefulness gently induce self esteem form treatment mild helplessness depression	1980	synthetic_low
previously report percentile norm bright young college graduate reference borderline patient group fall percentile f hypochondriasis mild depression hysteria psychopathic deviate light psychasthenia schizophrenia scale less general psychopathology scale psy	1980	synthetic_low
cognitive content partially determine mild depression domain construct slightly depressed subject generate negative content construct describe	1980	synthetic_low
clear increase duration low pain associate depression	1983	natural
recommendation provide area research validate measure mild depression child adolescent	1980	synthetic_low
male female subject recruit graduate education course give nimh ces depression scale bem sex role inventory	1984	natural
distressed group recruit verbal learning study exchange free consultation referral service group prove deviant multiple psychometric measure psychopathology beck depression inventory state trait anxiety inventory faschingbauer abbreviated mmpi	1983	natural
non significant difference intropunitive hostility depression find clinical group	1983	natural
depression subscale hyperactive boy significantly elevate score hopelessness self accusation cluster compose shame guilt hostility inward psychomotor retardation	1984	natural
slight depression hind limb sensory perception accompany mild rigidity urinary bowel skin disturbance	1980	synthetic_low
consistent previously report literature good responder tend mild pathology externalize dimension delinquency hyperactivity poor responder show moderate internalizing pathology somatic concerns mild depression family relations withdrawal anxiety	1980	synthetic_low
significant difference age obtain slightly female male report moderate depression score	1980	synthetic_low
statistical testing difference score category group child show moderate maternal conflict evaluation eat mild depression asthmatic boy	1980	synthetic_low
correlation health locus control scale minnesota multiphasic personality inventory self rate depression scale state trait anxiety inventory examine male medical surgical inpatient	1983	natural
important reason patient enter psychiatric treatment develop coexistent depression	1981	natural
probable case suffer mild depression report disorder begin late puerperium gradually ease post partum year	1980	synthetic_low
set confirm island lewis cross result originally find island north uist section population rate mild depression low rate slight anxiety high	1980	synthetic_low
study investigate relationship self report depression scale beck depression inventory standard short form mmpi depression depression subtle depression obvious scale zung self rating depression scale clinician dsm iii diagnosis mild depressive disorder chronic pain patient	1980	synthetic_low
anxiety depression hostility scale moderately intercorrelate combine score call dysphoria form addition	1983	natural
result base participant complete treatment indicate condition equally effective produce slight improvement self report clinician measure symptom mild depression	1980	synthetic_low
hostility depression loss libido coexist hyperprolactinemic patient present independently	1983	natural
distressed group recruit verbal learning study exchange free consultation referral service group prove slightly deviant psychometric measure mild psychopathology beck depression inventory state trait anxiety inventory faschingbauer abbreviated mmpi	1980	synthetic_low
find maacl anxiety moderate depression hostility subscale somewhat intercorrelate independent study n = raise mild doubt validity measure different affective state	1980	synthetic_low
subsample ss rate pre- post treatment hamilton rating scale depression experience clinician blind treatment group	1982	natural
relationship specific aspect rape situation immediate post rape measure depression fear anxiety social interpersonal functioning recent victim sexual assault examine	1980	natural
subsample ss rate pre- post treatment hamilton rating scale mild depression experience clinician blind treatment group	1980	synthetic_low
additional support stability diagnosis occasional occurrence mild nonpsychotic depression find initial psychotic admission	1980	synthetic_low
undergraduate complete modify version life experience survey les beck depression inventory revised measure social support	1980	natural
mildly depressed patient match sex age low level depression involve	1980	synthetic_low
female depressed patient dimension stability uncontrollability appear addition play causal role determine level depression week later	1982	natural
