For women, depression predicted number of days of role limitations due to poor physical or mental_health and number of days of not getting enough sleep or rest.	2012	natural
The present study evaluated the efficacy of an internet-based guided self-help program for moderate anxiety, depression and stress.	2013	natural
Compared to controls, the treatment group showed higher satisfaction with life and lower depression and burden over the posttest and 3-month follow-ups although there was no effect of the condition on participants' stress levels.	2014	natural
Additionally, the results identified high levels of self-reported anxiety in both groups, with the majority sitting outside of the normal range using the Hospital Anxiety and Depression Scale.	2013	natural
This increased activation of the CMS may embody the association between negative affectivity and self-focus in healthy subjects, as previously observed in major depression.	2011	natural
In adults, subthreshold depression (SD) is viewed as being on a continuum with major depressive disorder (MDD).	2013	natural
Behavioral theories predict that decreases in response-contingent positive reinforcement and increases in negatively reinforced avoidance behaviors, often accompanied by aversive life events, result in the selection and maintenance of depression.	2013	natural
While reductions in worry for sleeplessness were related to improvements in insomnia severity and TST, decreases in worry for health were associated with enhancements in WASO and depression.	2014	natural
Bullying was found to be a significant predictor of all the outcomes included, showing a substantial relative contribution in relation to anxiety and depression, while for job satisfaction, turnover intention and absenteeism, more modest relative contributions were identified.	2010	natural
Given that participants navigated childhood without depression, this pattern could reflect decreased emotional engagement with this task as an indicator of relative resilience to inherited risk.	2014	natural
Adjusting for socioeconomic factors, those who reported having been diagnosed with diabetes, cardio-related disease, hypertension, high cholesterol, arthritis, or sleep problems endorsed more symptoms of depression.	2012	natural
The aim of this study was to test whether aspects of the initial non-verbal behaviour of patients with schizophrenia and depression in medical consultations differ and are associated with symptom levels in each group.	2010	natural
In contrast, attenuated positive affectivity was associated with facilitated attentional disengagement from negative information, especially when this was depression relevant.	2012	natural
BCBT offers a unique alternative to traditional psychotherapy, to reduce suicidal behavior and improve the patient's ability to more fully participate in longer-term therapy for targeted Axis I and II disorders like post-traumatic stress disorder and/or major depression.	2012	natural
It has been suggested that clinician-rated scales and self-report questionnaires may be interchangeable in the assessment of mild depression severity, but it has not been tested whether clinically significant information is lost when assessment is restricted to either clinician-rated or self-report instruments.	2010	synthetic_low
Depression and coping style were significant mediators of rumination on self-harm for men, with depression being the only robust mediator for women.	2014	natural
By means of multiple regression analysis, openness and mild depression were the 2 predictors for lower levels of alexithymia in SLE patients.	2010	synthetic_low
Self-stigma was the hypothesized mediator, and the hypothesized moderators were (a) Depression, (b) General Self-efficacy, (c) Precontemplation, and (d) Barriers to Help-seeking.	2013	natural
Negative ion treatment increased the recognition of positive compared to negative facial expression and improved vigilance to unmasked stimuli across participants with seasonal depression and healthy controls.	2012	natural
The cases have a mixture of alcohol-related problems including anger, anxiety, social withdrawal and depression.	2014	natural
One way to improve the pathway to care is to train care staff to recognize the symptoms of depression and raise their confidence in responding to them.	2010	natural
To determine if aggression, hallucinations or delusions, and depression contribute to excess mortality risk observed in individuals with serious mental_illness (SMI).	2012	natural
PD pain was influenced by disease severity and depression.	2014	natural
No indication for association to mild depression was found for P2RX7:2230912 and CACNA1C:rs1006737 without or with consideration of minor childhood problems or everyday negative life events.	2010	synthetic_low
Potential sources of high heterogeneity of prevalence were study design, sampling strategy, study quality and applied diagnostics of latest life depression.	2012	natural
To understand anxiety and depression more fully in this socioeconomically disadvantaged population, this study relies on the Social Antecedent Model of Psychopathology to characterize anxiety and depression symptoms concurrently.	2012	natural
Repeated measures ANOVA analysis showed significantly greater improvement on depression scores on the PHQ9 in the intervention group compared to the control group.	2014	natural
Suicidal individuals with depression and hopelessness who cannot signal their pain to others are at high risk of committing a medically serious suicide attempts.	2012	natural
Additionally, gender was found to moderate the relationship between adolescent social impairment and depression in early adulthood, with females exhibiting a stronger association between social functioning and depression at the symptom and diagnostic level.	2011	natural
PCS-like symptoms are commonly found in individuals with depression, pain, and stress, as well as healthy individuals.	2010	natural
A functional variant of the serotonin transporter gene (5-HTTLPR) has been associated with increased risk for major depression in the context of stress.	2011	natural
This study investigated the mediating effects of psychosocial factors such as mild depression, anxiety, self-esteem, manageable stress, and adequate social support on the reduced suicidal probability among 1,586 adolescents attending middle and high schools in the Kyunggi Province area of South Korea.	2010	synthetic_low
There was a dose-response relationship with increasing number of physical illnesses, and in women this was independent of depression.	2012	natural
Mothers who had deployed reported greater distress than non-deployed mothers (slightly higher scores on measures of PTSD and mild depression symptoms), and marginally more past year adverse events.	2010	synthetic_low
A conjunction analysis revealed concordance across two separate measures of depression.	2014	natural
