collocate,count
externalise,1
problem,2
adolescence,1
include,1
substance,7
juvenile,1
offend,1
school,1
physical,10
threatening,1
psychological,4
sexual,16
relational,1
pattern,1
i.e.,1
perpetration,1
victimization,1
violence,7
result,2
indicate,2
prevalence,3
economic,4
increase,4
time,2
particularly,2
abuse,12
vary,1
estimate,2
child,14
ipv,2
control,3
contribution,1
experience,5
childhood,6
multivariate,1
analysis,2
reveal,1
severe,14
adverse,1
strongly,2
associate,3
consider,2
13,1
different,2
indicator,2
neglect,9
maltreatment,4
form,2
examine,2
csa,1
function,1
cohort,1
gender,1
report,2
perceive,1
emotional,7
witness,4
domestic,2
questionnaire,1
assess,1
provide,2
information,1
family,2
risk,3
factor,1
question,1
rate,1
currently,1
0,1
17,1
aa,1
united,1
states,1
research,2
alcohol,3
population,1
sparse,1
evidence,2
genealogical,1
effect,1
infant,1
nonhuman,1
primate,1
common,1
milenia,1
stable,1
wood,1
nathan,1
misapply,1
term,2
ritual,1
misstate,1
fact,1
case,4
promote,2
mythical,1
characteristic,1
group,1
adult,2
offender,1
correctional,1
setting,1
12,1
month,1
follow,1
survey,1
drug,5
treatment,6
outcome,2
study,2
neuropsychiatric,1
disorder,2
like,1
depression,2
anxiety,1
high,1
tendency,1
find,2
situation,1
context,1
intimate,1
partner,1
pa,1
progressively,1
gain,1
scientific,1
relevance,1
daily,1
life,1
486,1
client,1
modality,1
methadone,1
maintenance,1
outpatient,2
behavior,1
self,1
medication,1
model,2
incarcerate,1
male,1
adolescent,1
additional,1
challenge,1
pseudoseizure,1
polydipsia,1
ethanol,1
examination,1
assumed,1
properties,1
college,1
samples,1
publish,1
july,1
1998,1
retention,1
prior,1
suicide,1
attempt,1
active,1
mood,1
cycle,1
unit,1
lead,1
cue,1
exposure,2
level,2
change,1
odd,1
mother,1
recommend,1
improve,1
detection,1
prevent,1
long,1
care,1
facility,1
professional,1
train,1
assessment,1
envisage,2
manage,1
local,1
complex,1
court,2
aggressively,1
treat,1
exceptional,1
sensitivity,1
intense,3
good,1
specificity,1
custody,1
order,1
appalling,1
past,1
suggest,1
especially,1
devastating,1
development,1
overwhelming,1
ongoing,1
previous,1
relate,1
science,1
addiction,1
counseling,1
verbal,2
positively,1
independently,1
potentially,1
parent,1
response,1
scenario,1
affect,3
perception,2
extreme,4
condition,4
openness,1
considerable,1
flexibility,1
deal,1
clinician,1
researcher,1
speculate,1
conduct,1
co,1
occur,1
alarming,1
state,1
official,1
suspect,1
dysphoria,1
temporarily,1
reverse,1
harmful,1
negative,1
sustain,1
helplessness,1
locus,1
history,1
trauma,1
distress,1
traumatic,1
severity,1
positive,1
aspect,1
significant,1
decrease,1
system,1
addition,1
introduce,1
perpetrator,1
desperately,1
need,1
applicability,1
prevention,1
wide,1
range,1
