collocate,count
addition,1
depression,13
great,3
consensus,1
indirectly,1
associate,4
level,5
report,4
fear,6
physical,2
symptom,7
sensitivity,3
high,11
show,4
increase,1
subjective,1
hyperventilation,1
task,1
possible,1
exception,1
elevated,1
state,3
case,1
woman,1
present,1
primary,2
reduce,3
adaptive,1
functioning,1
mild,1
emerging,1
evidence,1
suggest,2
elevate,2
substance,3
use,3
disorder,17
additionally,2
trait,5
predict,3
student,1
performance,2
concentration,1
variable,2
label,1
trial,1
try,1
conventional,1
treatment,1
degree,1
success,1
application,1
treat,1
school,2
phobia,2
test,2
academic,2
anxiety,6
control,1
sex,1
group,1
child,2
sleep,1
presleep,1
somatic,1
arousal,1
parent,1
association,3
stereotype,1
concomitant,1
perceive,3
threat,1
rarely,1
investigate,3
particularly,2
relevant,1
specific,4
e.g.,2
panic,1
negative,1
highly,1
prevalent,1
stable,1
chd,1
patient,1
study,1
factorial,1
structure,2
manifest,1
scale,3
mas,1
american,1
counsel,1
graduate,1
measure,1
target,1
self,2
compassion,1
stress,2
temperament,1
parental,1
risk,1
taking,1
attenuate,1
counteract,1
physiological,1
activation,1
exhibit,2
behaviour,1
ltsa,1
participant,1
repressor,1
defensiveness,6
low,7
avoidant,1
repressive,1
cope,1
style,1
anxious,5
defensive,1
cardiovascular,1
morbidity,1
phobic,2
hostility,1
type,1
behavior,2
complete,1
competitive,1
short,1
form,1
inventory,1
question,1
situation,2
armfield,1
introduce,1
questionnaire,1
index,1
dental,1
intention,1
give,1
research,2
complex,1
classroom,1
inadequacy,1
immaturity,1
achievement,1
caregiver,1
moderate,1
difference,1
comorbidity,1
course,1
generalize,2
gad,3
develop,2
secondary,1
sexual,2
activity,1
sensitive,1
nature,1
mathematics,1
approximately,1
33,1
subject,1
lose,1
prompt,1
mental,1
diagnosis,1
include,1
mood,2
sud,1
factor,1
paranoid,1
ideation,1
obsession,1
compulsion,1
somatization,2
361,1
25,1
n=40,1
prevalence,3
probable,2
17,1
n=27,1
session,1
14,1
hr,1
cbt,1
generalized,1
0.01,1
6,1
rct,1
qoe,1
smd,1
=,2
0.82,1
95,1
130,1
youth,2
914,1
year,1
anx,1
n,1
100,1
22.7,1
13.7,1
depressive,2
7,1
evaluate,1
new,1
way,1
chronic,1
signal,1
aversive,1
event,1
make,1
predictable,1
frequent,1
response,1
stressful,1
evaluation,1
hrv,1
useful,1
endophenotype,1
previous,1
social,3
sad,1
relationship,2
impairment,1
directed,1
shoulds,1
opposite,1
direction,1
expectation,1
ret,1
separate,1
consideration,1
pure,4
comorbid,2
clinical,3
practice,2
psychiatric,1
nosology,1
psychological,1
distress,1
area,1
problem,2
affect,1
intensity,1
range,1
personality,1
psychosomatic,1
socially,1
assess,1
time,1
exam,1
day,1
mmpi-2,2
rf,1
add,1
incrementally,1
restructure,1
loneliness,1
know,1
283,1
phiv,1
96,1
concept,1
relation,1
life,1
satisfaction,1
death,1
aged,1
population,1
finding,1
appearance,2
serve,1
mediator,1
concern,1
mistake,1
binge,2
dietary,1
restraint,1
imply,1
salient,1
prospective,1
predictor,1
eat,1
correlate,1
severity,1
co,1
morbid,1
supervisee,1
interaction,1
structured,1
generally,1
think,1
skill,1
experience,1
play,1
negligible,1
focus,1
attention,1
whilst,1
worker,1
significantly,1
illness,1
