collocate,count
questionnaire,1
measure,7
shame,1
guilt,1
ptsd,1
play,1
key,1
role,1
frequently,1
observe,1
tobacco,2
user,2
n=236,1
high,5
frequency,1
40,1
32,1
p=.05,1
primary,1
finding,1
mediate,1
effect,1
child,2
sexual,1
abuse,1
outdoor,1
recreation,1
associate,5
report,2
symptom,5
adult,1
age,1
65,1
year,1
old,2
hardship,1
find,2
risk,8
factor,5
major,4
social,4
network,1
institutional,1
trust,1
scale,2
self,2
esteem,2
number,2
demographic,1
variable,3
mdd,1
group,1
significant,3
relationship,3
severity,3
fa,1
right,1
medial,1
orbitofrontal,1
result,1
suggest,1
anxiety,8
independently,2
reduce,4
coherence,1
datum,1
reveal,1
clinically,1
elevation,1
dysphoric,1
affect,1
intervention,1
somewhat,1
effective,2
treat,1
severe,30
know,1
critical,2
determine,2
effectiveness,1
theoretical,1
advance,1
phenotype,2
help,3
elucidate,1
complex,2
behavioral,1
acs,1
patient,5
specific,2
intense,9
recently,1
evaluation,1
markedly,1
cancer,1
drastically,1
uc,1
profound,4
maintain,1
crucial,1
integration,1
significantly,8
younger,1
housewife,1
counterpart,1
ne,1
hopelessness,1
desperate,1
avoidant,1
coping,1
activity,1
motivation,1
debilitate,4
physical,1
disability,1
meticulously,1
establish,1
refine,1
38,1
21,2
17,1
item,1
thorough,1
cluster,1
cognitive,1
vulnerability,1
personality,1
dysfunction,2
study,1
aim,1
estimate,1
prevalence,1
psychological,2
distress,1
ckd,1
health,1
implication,1
benefit,1
people,1
co,1
existing,1
gambling,2
problem,2
necessarily,2
need,2
additional,1
treatment,3
receive,1
issue,1
contribute,1
heighten,2
context,1
prevalent,1
nonviolent,1
spousal,1
control,1
mood,1
state,2
male,2
revise,2
beck,3
inventory,6
bdi,1
administer,1
174,1
affective,1
disorder,4
highlight,3
intensely,1
perceive,2
woman,2
overwhelmingly,1
married,1
screen,1
minor,2
necessary,1
cutoff,1
score,4
low,5
require,2
identify,1
dangerous,1
incidence,1
attendance,1
religious,1
service,1
destructive,1
behaviour,2
school,3
whites,1
experience,1
lifetime,1
23,1
subgroup,1
respectively,1
24,1
change,1
weight,1
deepen,1
particular,1
attention,1
give,2
obese,1
parent,2
particularly,1
offspring,1
relentless,1
course,1
recognize,2
elevated,2
detailed,1
depth,1
urgent,1
desirability,1
obsessive,1
compulsive,1
revised,1
second,2
edition,2
depression,4
trait,1
baseline,1
index,1
asi,1
distressing,1
checklist-90,1
goal,2
predominantly,1
focus,2
relief,1
thematically,1
characteristic,2
general,2
psychiatric,1
involvement,3
bully,3
predict,5
middle,1
adolescence,1
psychometric,1
property,1
hospital,1
hads,1
end,1
second-,1
third-,1
fourth,1
bear,1
young,1
correlate,1
satisfaction,1
maternal,1
brief,1
discussion,1
diagnosis,1
endogenous,1
melancholic,1
different,1
system,1
overwhelming,2
eat,1
adjust,1
crippling,1
diminish,1
onset,1
duration,1
manifestation,1
attempt,1
bring,1
deeply,1
residual,1
appointment,2
practitioner,1
alarmingly,1
relate,1
striking,1
adjustment,1
critically,1
assess,1
.001,1
diabete,1
m,3
f,2
interaction,1
great,1
minimal,1
7,1
point,1
reduction,1
p,1
=,2
0.03,1
d,1
