collocate,count
total,1
1,969,1
individual,3
contact,1
index,1
hospitalization,3
violence,1
knife,2
frequently,1
homicide,2
user,1
service,10
association,1
unplanned,1
provide,2
empirical,1
evidence,2
large,1
scale,2
intervention,1
early,1
schooling,1
significantly,3
associate,1
correlate,1
negatively,1
irrationality,1
predict,3
well,1
explain,1
inverse,1
connection,1
self,2
esteem,1
type,1
social,5
support,1
network,1
presence,1
different,2
resource,1
available,1
treat,1
problem,4
difference,1
characteristic,1
use,1
degree,2
rurality,1
effort,2
need,7
assess,1
address,2
specific,1
hiv,1
infect,1
rural,1
discussion,2
devoted,1
persuade,1
counseling,4
psychologist,1
practitioner,1
age,1
differently,1
differ,1
outcome,2
domain,2
reflect,1
area,1
functioning,1
teacher,1
warrant,1
investigate,1
occupational,1
burden,1
status,1
profession,1
extensive,3
behavioral,3
management,1
strategy,2
complex,1
system,2
psychiatric,1
disorder,2
increase,2
shift,1
public,2
intense,6
short,1
term,1
structured,1
efficacy,1
hiit,1
mict,1
profound,2
exceptional,2
fitness,1
treatment,3
highly,1
comparable,3
inpatient,1
outpatient,2
dramatically,2
effect,1
symptomatic,1
critical,18
importance,1
substantial,1
relationship,2
vulnerable,1
old,1
adult,1
experience,1
severe,6
functional,1
privilege,1
significant,1
assumption,1
family,2
child,6
human,1
development,1
urgent,7
alternative,1
conception,1
offer,1
include,2
component,1
believe,1
essential,3
derive,1
press,1
estimate,1
mexican,1
americans,1
extreme,1
far,1
great,1
access,2
member,1
general,1
population,1
state,1
divert,1
likely,1
receive,2
intensive,3
mental_health,8
medication,3
enrol,2
diversion,1
program,4
equally,1
group,2
youth,2
alarming,1
pattern,1
concern,2
homogenous,2
presentation,2
notice,1
parent,2
educator,1
urgently,1
successful,1
transformative,1
approach,1
consultant,1
consultee,1
distance,1
substance,2
abuse,2
daunting,1
barrier,1
crucial,3
contribution,1
field,1
infant,1
shockingly,1
little,2
attention,2
pay,2
dire,2
mentally,1
retarded,2
person,2
report,2
female,1
gender,1
strongly,1
predictive,1
robust,1
aged,1
health,2
desperately,1
variety,1
community,2
change,1
force,1
cross,1
collaboration,1
vital,1
protective,2
psychopathology,1
vulnerability,1
predictor,1
symptom,1
relentless,1
professional,3
work,1
adolescent,2
suffer,1
device,1
gather,1
exhaustive,1
information,1
distressed,2
patient,1
care,8
utilization,1
struggle,1
deeply,1
impact,1
risk,1
involvement,1
school,3
session,1
contribute,1
intensely,2
man,2
avoidance,1
counselling,1
overwhelming,1
stigma,3
negative,4
attitude,1
engage,2
pervasive,2
cynicism,1
model,1
class,2
1(n=94,1
minimal,1
delinquency,1
issue,1
2(n=37,1
provider,2
3053,1
medical,1
survival,1
operation,1
aids,1
orphan,1
condition,1
devastate,1
incidence,1
high,2
double,1
natural,1
mentorship,1
palliative,2
detrimental,1
base,2
welfare,1
evolve,1
home,1
placement,1
past,1
detailed,1
suicide,1
plan,1
deep,1
interrelationship,1
troubled,1
33,1
canadian,1
indoor,1
male,1
sex,2
severely,1
affect,1
mitigate,1
damaging,1
measure,1
global,1
construct,1
psychological,1
distress,1
effectiveness,1
site,1
integrate,1
consultation,1
preschool,1
safe,1
intention,1
undergo,1
document,1
focus,1
role,1
play,1
stake,1
structuring,1
activity,1
attachment,1
style,1
absolutely,1
preserve,1
entire,1
life,1
span,1
sdq,1
29,1
resilience,1
define,1
competence,1
rigorous,1
academic,1
challenge,1
