collocate,count
worthwhile,1
review,1
history,1
child,4
suffer,4
course,1
america,1
movement,1
small,1
colony,1
procedure,1
prediction,1
community,2
violence,2
patient,3
accuracy,1
clinician,1
rating,1
concern,2
think,1
productively,1
gun,1
context,2
role,1
law,1
lessen,1
toll,1
view,1
videotape,1
person,4
disconfirm,1
stereotype,1
e.g.,1
manifestly,1
addictive,1
disorder,3
chronic,1
severe,14
help,1
cope,1
symptom,3
psychosis,2
negative,3
mobility,1
impairment,1
obesity,1
poor,1
health,4
independent,1
access,1
exercise,1
frequent,1
people,10
mood,1
high,2
burden,1
orientation,1
approach,1
identify,1
treatment,6
target,1
psychological,1
issue,3
intervention,3
base,1
principle,2
conceptual,1
paradigm,1
understand,2
culture,1
influence,3
domain,2
include,3
prevalence,3
mental_illness,7
b,2
mental_health,3
etiology,2
disease,2
c,1
phenomenology,1
use,5
limit,1
dangerousness,1
sedative,1
problem,3
characterize,2
homeless,1
youth,2
alzheimer,1
ad,1
progressive,1
neurodegenerative,1
memory,1
loss,1
multiple,1
cognitive,1
depression,1
severity,1
woman,3
report,3
perceive,6
stigma,3
model,2
alcohol,1
highlight,1
need,1
assess,2
specific,1
drinking,1
fifth,1
acutely,1
intoxicated,1
time,1
killing,1
addiction,1
particular,1
struggle,1
relate,1
affect,2
individual,4
attitude,5
medication,1
explore,1
cultural,3
religious,1
belief,6
perception,1
action,1
search,1
patients,1
data,2
collection,2
apdc,3
maternal,4
exposure,2
derive,2
mental,2
ambulatory,1
basis,1
obtain,2
result,2
improvement,2
general,2
recognize,2
important,2
social,1
man,1
slightly,2
demonstrate,1
beneficial,1
endure,1
94,1
specificity,2
85,1
perform,1
well,1
component,1
samiss,1
sensitivity,1
97,1
personal,1
impersonal,1
contact,1
dangerous,1
precipitator,1
combination,1
risk,3
factor,6
presence,2
support,2
importance,2
early,2
diagnosis,3
vulnerable,1
group,1
couple,1
show,1
evidence,1
multiplicative,1
effect,2
rate,2
subsequent,1
divorce,1
separation,1
care,4
overprotection,1
parental,1
household,1
dysfunction,1
sexual,1
abuse,1
physical,1
illness,1
level,1
somatization,1
predispose,2
gender,1
age,1
opinion,1
enable,1
socioeconomic,1
status,1
geographical,1
collect,1
datum,1
examine,2
diagnose,1
experience,2
partial,2
program,2
perspective,1
total,1
161,1
new,1
record,1
decrease,1
40,1
income,1
sample,1
adolescent,2
mother,1
n,1
=,1
166,1
weight,1
management,1
undertake,1
efficacy,1
population,1
society,1
prevalent,1
comparison,1
narcotic,1
rural,1
urban,1
area,1
imbalance,1
system,1
behavior,1
regulation,1
profile,1
exhibit,2
distinct,2
pattern,2
consistent,2
differ,1
alcoholism,1
3.5,1
homosexuality,1
2.8,1
2.6,1
common,1
myth,1
promulgate,1
film,1
discuss,1
potential,1
application,1
enhance,1
quality,1
life,1
research,2
suggest,1
positive,1
generalize,1
bipolar,1
bpd,1
similar,1
essential,2
adult,1
relatively,1
little,1
daunting,1
caregive,1
estimate,1
alarming,1
dementia,1
medicare,1
beneficiary,1
urgent,1
harshly,1
stigmatize,1
etiological,1
eemwengu,1
deeply,1
rooted,1
construct,1
disconnect,1
buddhist,3
western,1
aggressively,1
foster,1
effective,1
assimilation,2
practice,2
critical,1
additionally,1
widely,1
accept,1
intensely,3
correlate,1
tobacco,1
dependence,1
prevention,1
cessation,1
effort,1
profound,1
public,1
subgroup,7
11,2
2,3
critically,1
congruent,1
attire,1
message,1
judge,1
clinical,1
benefit,1
debilitate,1
popular,1
type,1
