collocate,count
lack,1
resolution,1
previous,1
attachment,1
figure,1
account,2
insecurity,1
counseling,1
service,1
woman,3
history,13
battle,1
et,1
al,1
bulimic,1
eating,1
disorder,4
severity,3
complex,2
ptsd,3
symptom,11
research,1
date,1
examine,7
centrality,1
individual,5
expose,3
combat,1
stress,6
significant,6
relationship,2
total,1
childhood,4
score,2
ctq,1
neuroticism,1
epq,1
btt,1
implication,1
large,1
memory,3
field,1
particularly,1
regard,1
forget,1
misremember,1
hallucination,1
proneness,1
dissociative,1
tendency,1
perform,1
auditory,1
signal,1
detection,1
task,1
base,2
intervention,1
social,5
acknowledgement,3
disclosure,3
mediating,1
effect,7
improvement,2
reduction,3
posttraumatic,2
trauma,8
nature,2
dissociation,3
traumatic,2
consider,2
relation,1
demographic,1
earthquake,1
exposure,5
psychological,2
distress,1
measure,4
brief,1
cognitive,2
processing,1
model,2
growth,3
author,1
present,2
cross,1
sectional,1
explore,2
different,1
type,6
intrusive,2
rumination,2
association,2
parent,1
health,2
follow,1
child,7
community,2
stop,1
unconsciously,1
visit,1
ancestral,1
world,1
clinical,1
feature,1
associate,2
e.g.,2
shut,1
space,1
abuse,3
fund,1
study,2
link,1
drug,1
use,3
violence,1
youth,2
regressive,1
non,1
ego,1
enhancing,1
accompany,1
anger,1
rejection,1
self,2
report,2
level,2
support,1
evaluate,1
ptss,1
6-,1
12,1
age,1
provide,1
insight,1
impact,3
early,2
developmental,1
period,1
transference,1
resistance,1
form,1
unconsciousness,1
emotional,1
therapeutic,1
change,1
adjustment,1
bicultural,1
involvement,1
questionnaire,1
anxiety,3
revised,2
children,3
manifest,2
scale,2
checklist,3
esteem,1
coopersmith,1
indicate,1
devastate,6
war,1
relate,1
directly,1
negative,1
religious,1
coping,1
thoroughly,1
profound,5
linkage,1
severe,18
protective,1
factor,1
critical,1
aspect,1
dysfunction,1
violent,1
blunt,1
perineal,1
conversely,1
participant,1
disclose,1
interact,1
cold,1
distant,1
experimenter,1
experience,4
development,2
severely,2
distinguish,1
generalized,2
attentional,2
impairment,2
iq,1
comorbid,1
depression,2
behavioral,1
problem,1
influence,1
mass,1
virginia,1
tech,1
campus,1
shooting,1
intense,2
start,1
stutter,1
whiplash,1
serve,1
people,1
adopt,2
rigorous,2
inform,2
care,2
tic,1
approach,1
parental,1
mental,1
illness,1
substance,1
athlete,1
repetitive,1
head,2
risk,1
lower,1
neuropsychological,1
functioning,1
dire,1
financial,1
outcome,1
j.,1
rehab,1
include,1
maternal,2
behavior,1
sustain,1
catastrophic,1
iii,1
demand,2
relative,2
survivor,2
types,2
ii,1
psychotherapy,1
victim,4
need,1
attend,1
extinguish,1
terrorism,1
induce,1
similar,1
horrific,2
extreme,2
natural,2
man,1
car,1
accident,1
significantly,1
sexual,1
multiple,1
compound,1
post,3
young,1
tscyc,1
motor,1
spatial,1
learning,1
brain,1
genetic,1
deficiency,1
mental_illness,1
sample,1
n,1
=,1
31,1
disgust,1
reaction,1
100,2
veteran,2
interpersonal,2
gender,1
difference,1
variable,1
maltreatment,2
majority,1
adult,1
connectivity,1
fc,1
amygdala,1
21,2
age-,1
sex,1
match,1
urban,1
adolescent,1
haemorrhage,1
frequently,1
result,1
mental_health,1
difficulty,1
detention,2
overwhelming,2
perceive,1
locus,1
control,1
personnel,1
detailed,1
knowledge,1
address,2
consistent,2
sensitive,2
practice,2
clinician,1
assume,1
intrusion,4
historically,2
accurate,2
revisualization,2
horrify,2
incident,1
suggest,1
represent,2
overwhelmingly,1
harrowing,1
version,1
state,1
urgently,1
reduce,1
devastating,1
assist,1
deeply,1
affect,1
painstaking,1
new,2
meaning,1
endure,1
future,1
completely,1
produce,1
destabilizing,1
foster,1
emergence,1
