collocate,count
87,1
boy,1
case,2
child,17
sexual,22
understand,3
sex,1
difference,1
improvement,2
housing,1
financial,1
situation,1
substance,4
engage,1
high,5
risk,3
youth,2
alcohol,4
prevention,4
program,1
man,2
experience,3
violence,1
gay,1
significantly,2
score,1
personal,1
news,1
medium,1
coverage,2
help,1
policymaker,2
public,3
prevent,2
future,1
tend,1
focus,1
extreme,1
involvement,1
woman,1
crack,1
cocaine,3
severe,3
impact,1
health,3
dimension,1
control,1
effect,2
type,2
childhood,6
neglect,9
different,2
study,6
isolation,1
disorder,4
assessment,1
approach,1
treatment,4
survivor,1
prevalence,2
minor,19
physical,8
mainland,1
china,1
non,1
firstly,1
demonstrate,1
occasional,3
happen,1
family,4
system,2
south,1
africa,1
secondly,1
argue,1
start,1
achieve,1
conduct,1
group,1
work,1
session,1
member,1
short,1
term,1
mild,15
posit,1
therapeutic,1
relationship,1
video,1
initiation,1
contact,1
sample,1
108,1
confirmed,1
history,4
enrol,2
8,5
week,2
discovery,1
15,1
year,1
old,1
frequency,1
problem,1
criminality,1
certain,1
psychiatric,1
explore,1
traumatic,1
loss,1
emotional,3
disrupt,1
patient,1
symbolic,1
process,1
alter,1
victim,2
female,1
perpetrate,1
domestic,1
monitor,1
relate,3
death,1
infant,1
young,1
increase,3
stepwise,1
fashion,1
reach,1
potential,1
proportion,1
5,2
use,2
great,3
day,3
month,1
define,1
dsm,1
iii,1
intolerable,1
socioeconomic,1
deprivation,1
form,3
effective,1
surveillance,1
effort,1
consider,1
drug,3
agency,1
report,7
instance,1
past,1
slight,1
incidence,2
modest,2
ptsd,1
male,2
gender,2
odd,2
evidence,2
animal,1
second,1
order,1
factor,1
illness,1
personality,1
moderately,1
complex,1
merit,1
predict,1
minimal,1
allostatic,1
medical,1
sequelae,2
grow,2
researcher,2
attempt,2
standardize,2
measurement,2
event,1
indicator,1
likelihood,1
denial,1
recantation,1
educator,1
recently,1
national,1
priority,1
dynamic,1
characterize,1
specific,1
category,1
probable,1
household,1
dysfunction,1
abuse,4
low,2
somewhat,4
strong,1
compare,1
likely,1
socially,1
determine,1
reason,1
construe,1
negatively,1
subtly,1
psychologically,1
determined,1
cognitive,1
language,1
development,2
scenario,1
involve,1
rate,2
86.1,1
subject,1
39.5,1
examine,1
initial,1
70,1
girl,2
age,1
3,1
person,1
divorced,1
slightly,2
dependence,1
disability,1
measure,1
88,1
consent,1
student,1
randomly,1
assign,1
minute,1
4,1
trivial,1
topic,1
dat1,1
polymorphism,1
find,2
advance,1
understanding,1
predictor,1
multiple,1
level,1
influence,1
hypothesis,1
recollection,1
=,4
65.3,1
s,1
n,3
144,1
concern,1
lifetime,1
165,1
current,1
73,1
addition,1
recent,1
csa,1
randomize,1
produce,1
estimate,1
significant,1
interaction,1
mean,1
self,1
esteem,1
occasionally,1
develop,2
alongside,1
association,1
sense,1
face,1
validity,1
stranger,1
separation,2
anxiety,2
disorders,1
follow,1
major,1
depressive,1
hypothetical,1
characteristic,1
individual,1
mildly,1
