collocate,count
goal,1
perspective,1
predict,2
high,4
math,1
use,1
self,9
protective,1
cope,1
strategy,2
complete,2
validate,1
questionnaire,1
measure,5
state,4
body,2
awareness,1
tendency,1
discrepancy,1
theory,1
propose,2
depression,14
result,1
different,1
type,1
conflict,1
child,5
diagnose,1
have,1
disruptive,1
behavior,3
disorder,14
treatment,2
group,5
control,4
adolescent,2
population,1
indicate,1
associate,2
social,4
consistency,1
japanese,1
adaptation,1
trait,3
inventory,1
form,2
y,1
stai,1
jy,1
childhood,1
posttraumatic,1
stress,5
diagnosis,2
dsm,2
iv,1
generalize,2
recruit,1
site,1
panic,1
attack,1
anticipatory,1
scale,6
toronto,1
alexithymia,1
tas-20,1
major,2
depressive,4
mdd,1
gad,2
able,1
explain,2
achievement,1
mild,34
doubt,1
confucian,1
asian,1
student,2
calmness,1
mechanism,1
paediatric,1
develop,1
maintain,3
time,1
investigate,1
potential,1
correlate,2
manageable,2
sample,1
college,1
observation,1
lead,1
new,2
formulation,1
independent,1
decision,1
making,1
long,1
case,2
symptom,4
implicit,1
association,3
test,2
revised,1
explicit,1
esteem,1
sad,1
account,1
31,2
38,1
variance,2
anger,2
rating,3
datum,1
highlight,1
prevalence,2
comorbid,1
potentially,1
minor,3
undertreated,1
problem,1
illustrate,1
low,4
level,8
emotion,1
regulation,1
function,1
etiology,1
include,1
limit,1
occasional,1
eating,1
slight,6
abusive,1
supervision,1
satisfaction,1
weight,1
iii,1
15.4,1
combine,1
base,1
maternal,1
trimester,1
pregnancy,1
obstetric,1
complication,2
study,2
146,1
patient,1
ipat,1
analysis,1
a1c,1
collect,1
baseline,1
mutually,1
exclusive,1
absence,1
prediabete,1
simple,1
cognitive,2
task,1
examine,1
homotypic,1
heterotypic,1
continuity,1
3,1
year,2
adolescence,2
young,1
differentiate,1
domain,1
productivity,1
single,1
good,1
predictor,1
criterion,1
decrease,2
show,5
decrement,1
period,1
contribute,1
onset,1
mood,1
elevation,1
participant,1
subtle,1
emotional,2
selectivity,1
multidimensional,1
perfectionism,1
scales,1
dass,1
10,1
week,1
breast,1
cancer,2
survivor,1
compare,1
hospital,1
hads,1
difference,3
efficacy,2
score,2
number,1
negative,2
thought,2
thinking,1
career,1
indecision,1
indecisiveness,1
mildly,2
related,2
vocational,1
maturity,1
relationship,1
increase,2
differ,1
memory,1
performance,1
physical,1
health,1
avoidance,1
exhibit,1
strong,1
effect,1
25,1
psychological,1
moderately,1
csai-2,1
fueling,1
inferiority,1
cautious,1
way,1
protection,1
reduction,1
general,1
significant,1
parental,1
racial,1
ptsd,1
symptomatology,1
find,1
hypothesis,1
great,1
individual,1
experience,1
moderate,1
significantly,1
p,3
0.05,1
woman,1
somewhat,1
effective,1
currently,1
available,1
positively,1
negatively,1
spiritual,1
prevalent,1
2,1
5,1
postinjury,1
utility,1
parent,1
rate,1
screen,1
disorders,1
scared,2
detect,1
youth,1
