collocate,count
research,1
far,1
direct,2
characterize,1
mild,42
correlate,2
measure,5
subtle,2
depressive,1
behavior,2
relation,2
individual,1
variable,3
slight,5
reduction,2
strong,1
influential,1
advocate,2
unitary,2
view,2
i.e.,2
depression,4
vary,2
dimensionally,2
categorically,2
short,1
live,1
brief,3
period,1
return,1
accompany,1
manageable,2
syndrome,1
anger,1
high,3
impulsivity,1
associate,4
somewhat,5
severe,4
r=-0.365,1
p=0.022,2
relatively,2
early,2
age,4
onset,1
r=0.402,1
p=0.012,1
weak,1
trend,1
correlation,2
executive,1
dysfunction,1
r=0.301,1
p=0.059,1
mdda,1
mddr,1
combine,1
develop,2
minute,1
load,1
induce,1
response,1
evoke,1
taste,1
solution,1
note,1
direction,1
weight,1
change,3
unipolar,1
bmi,2
clinical,2
low,7
severity,3
melancholia,1
chronicity,1
rare,1
recurrence,1
89,1
patient,6
major,3
uncommon,1
medically,1
hospitalize,1
report,3
program,1
self,5
disclosure,1
improvement,1
safe,1
sexual,1
practice,1
prematurely,2
show,3
control,1
influence,1
leave,1
treatment,2
significantly,2
approach,1
dimensional,1
anxious,1
arousal,1
risk,3
factor,4
mildly,1
contribute,1
etiology,1
ms,1
relative,1
importance,1
minor,9
effect,6
dysfunctional,1
attitude,1
social,3
support,1
life,1
event,3
small,2
specific,1
nonspecific,1
anxiety,9
chronic,1
maternal,3
last,1
12,1
month,1
postpartum,1
boy,1
girl,1
impact,1
infant,1
performance,2
relationship,2
racial,1
socialization,1
experience,4
occasional,3
symptom,4
160,1
black,1
adolescent,4
include,1
instrumental,1
helplessness,1
overall,1
impair,1
limit,1
emerge,1
modest,4
predictor,2
old,1
rural,1
residence,1
disorder,2
dose,2
prednisone,1
use,1
version,1
goldberg,1
scale,5
bradford,1
somatic,1
inventory,6
assess,1
gomel,1
cardiovascular,1
regulation,1
study,2
observe,2
psychomotor,1
function,1
increase,1
level,2
simple,1
continuous,1
score,5
basic,1
prospective,1
time,1
conjunction,1
hopelessness,1
light,1
rate,1
suicide,1
intent,1
examine,1
physician,1
diagnose,1
family,1
caregiver,1
dementia,1
reveal,2
difference,1
ptsd,1
prevalence,1
service,1
branch,1
attributable,1
combination,1
child,6
achieve,1
children,1
rating,1
revised,1
<,1
datum,1
result,2
standardized,1
stable,1
esteem,1
safety,1
initially,1
provide,1
buffering,1
stress,1
initial,1
diagnosis,1
na,1
everyday,1
group,1
subtly,1
moderate,4
bdnf,1
methionine,2
allele,1
slightly,2
descriptive,1
trait,3
mother,2
lifetime,1
contrast,1
recall,1
negative,3
history,1
conclude,1
wernicke,1
aphasic,1
severely,2
broca,2
aphasics,2
incidence,2
aphasia,1
consider,1
satisfaction,1
adjustment,1
alter,1
style,1
questionnaire,1
composite,1
beck,3
male,2
indicate,2
female,1
analysis,1
hospital,3
hads,2
type,1
d,1
personality,1
bereavement,1
indirect,1
illness,1
tripartite,1
model,2
3,1
affect,1
represent,1
conclusions,1
link,3
biased,2
interpretation,2
likability,2
actually,1
like,1
peer,1
review,1
literature,1
mood,1
25,1
primary,1
receive,1
therapeutic,1
imipramine,1
distress,1
grade,1
issue,2
method,1
assessment,2
childhood,1
discuss,1
developmental,2
perspective,1
role,3
manifestation,1
outline,1
parkinson,1
disease,1
dsm,1
iii,1
r,1
standard,1
inclusive,1
ef,1
neuropsychological,1
participation,1
sport,1
protective,1
suicidal,1
ideation,1
little,1
know,1
play,1
important,1
recovery,1
stressful,1
compare,1
range,2
information,1
physical,1
mental_health,1
population,1
base,1
health,1
n,1
=,1
61,349,1
