collocate,count
1961,1
modern,2
day,2
programming,2
begin,2
joint,2
commission,2
mental,1
mental_health,3
health,5
illness,2
key,2
development,4
child,14
service,11
prevention,1
analysis,1
study,3
examine,3
effect,3
acculturation,2
latino,1
adolescent,3
need,6
integrate,1
grow,2
literature,1
status,2
hispanics,1
united,1
states,1
identify,1
role,1
community,2
sport,1
club,1
promotion,1
active,1
coping,1
depression,1
predict,1
seek,2
traumatize,1
woman,2
war,1
trauma,1
impact,3
parent,1
emotional,1
response,1
inter,1
relate,3
disturb,1
memory,1
underlie,1
broad,1
range,1
problem,3
ptsd,1
guide,1
culturally,1
inform,1
clinical,1
intervention,3
professional,2
adapt,1
new,1
complex,1
trend,2
manage,1
care,1
particularly,1
lack,1
single,1
objective,2
reliable,1
measure,2
experience,2
pertain,1
body,1
image,1
concern,2
overall,2
datum,1
estimate,1
regular,1
outpatient,1
minor,2
behavior,2
issue,3
score,1
physical,2
abuse,1
history,2
typical,2
client,1
apparently,1
gender,1
systematic,1
evaluation,1
routine,6
consultation,3
basic,6
component,2
program,2
recent,2
welfare,1
system,1
mild,4
implication,1
public,1
policy,1
questionnaire,1
evaluate,1
psychological,1
factor,1
general,4
self,3
efficacy,1
common,3
life,2
standard,2
incidence,1
change,1
remission,1
relapse,1
number,1
aids,1
loss,1
contributor,1
post,1
deployment,1
condition,2
clear,1
association,2
find,1
little,1
work,1
use,4
associate,2
subtle,2
dose,1
individual,4
enforcement,1
officer,1
tend,1
view,1
traditional,1
limited,1
help,1
deal,1
person,2
investigate,2
darfur,1
conflict,1
430,1
internally,1
displace,1
idp,1
provide,2
early,2
childhood,2
misconception,1
schizophrenia,1
casually,1
address,1
educator,1
collective,1
responsibility,1
suggest,2
clinic,1
area,1
purpose,1
explore,2
substance,1
challenge,1
non,1
custodial,1
identification,1
preschool,1
minimal,1
risk,1
implementation,1
modest,1
result,1
1992,1
assessment,1
tucson,1
urban,1
american,1
psychiatric,1
nursing,1
somewhat,2
discipline,1
field,1
unit,1
muscat,1
autonomous,1
critical,1
confusing,1
matter,1
lawmaker,1
have,1
occasional,1
contact,1
notable,2
gps,1
management,1
report,1
culture,1
race,1
ethnicity,1
supplement,1
mention,2
subgroup,2
specific,2
research,1
mildly,1
cultural,1
variation,1
social,2
tie,1
slightly,1
reduce,1
difference,2
alcoholic,1
mother,1
asthma,1
comorbid,1
rate,3
note,1
racial,1
ethnic,1
quality,1
evidence,3
effectiveness,1
old,2
age,1
delivery,1
simply,1
consider,1
target,1
emt,1
family,1
responder,1
impair,1
multidimensional,1
model,1
variable,1
event,1
support,1
activity,1
facility,1
administrator,1
consultant,1
underscore,1
importance,1
staff,1
5417,1
inpatient,1
intellectual,1
disability,1
search,1
term,1
prisoner,1
people,1
background,1
cognitive,1
functioning,1
socio,1
demographic,1
recession,1
unemployment,1
amendment,1
legislation,1
slight,1
variety,1
receive,1
seven,1
correctional,1
month,1
admission,1
relationship,3
sh,1
gwh,1
pattern,1
drinking,1
outcome,1
ethical,1
practice,1
guideline,2
internet,1
gradually,1
lag,1
slow,1
potential,1
link,1
videogame,1
simple,2
researcher,1
design,1
tool,1
game,1
improve,1
type,1
moderately,1
explain,1
47.9,1
passive,2
leadership,2
26.6,1
setting,1
instructional,1
training,1
