collocate,count
x=4.79,1
p=0.034,1
prevalent,1
psychological,4
consequence,1
significantly,1
associate,3
csa,1
minor,15
childhood,15
history,7
assess,5
trauma,7
questionnaire,4
ctq-28,1
patient,5
control,3
result,2
show,1
somewhat,2
dissociation,1
scale,1
score,2
practice,1
psychoanalysis,1
situation,1
mild,33
social,1
raise,1
question,1
analysis,1
possible,1
impossible,1
decline,1
pediatric,1
blunt,1
hepatic,1
establish,1
parameter,1
estimate,1
time,2
inflict,1
remain,2
unclear,1
experience,5
mainly,1
colour,2
content,2
avh,2
trigger,2
subtle,3
vulnerability,2
hallucination,1
clinical,1
work,2
people,3
survive,1
carry,2
minimal,3
risk,2
vicarious,5
traumatisation,1
service,3
provider,2
potential,2
post,3
growth,2
vptg,2
outcome,2
follow,2
interplay,1
impact,6
bereavement,1
context,1
concept,2
relate,2
moderate,3
positive,3
implication,1
treat,1
victim,2
emotional,1
state,1
reduce,1
child,4
assist,2
turn,1
reassurance,1
safety,1
development,1
new,1
meaning,1
effect,3
future,1
hormonal,1
correlate,1
complication,1
physical,1
investigate,1
relationship,2
postulate,1
head,2
temporary,1
memory,4
loss,1
moderately,1
slightly,3
harm,1
avoidance,1
change,2
stress,11
disorder,7
ptsd,10
criterion,2
posttraumatic,3
5th,1
edition,1
diagnostic,1
statistical,1
present,1
clarify,2
limited,2
process,1
identification,1
adult,2
subject,1
expose,1
war,1
lead,1
vital,1
exhaustion,1
pain,2
simple,2
awareness,1
light,1
tissue,1
occur,1
absence,1
identifiable,1
injury,1
brief,1
summary,1
literature,1
low,1
level,2
symptom,3
traumatic,1
overview,1
biological,2
cognitive,1
behavioral,1
model,1
invasive,1
selective,1
review,1
evidence,1
effectiveness,1
therapeutic,1
exposure,1
treatment,2
abuse,2
survivor,1
early,2
life,2
fgid,2
+,2
exhibit,1
great,2
temporal,2
summation,2
healthy,1
slight,1
neglect,1
talipe,1
arthrogryposis,1
multiplex,1
congenita,1
study,1
benin,1
city,1
nigeria,1
month,2
significant,1
decrease,1
measure,2
emphasize,3
upbringing,1
use,1
word,1
describe,1
4,1
allele,1
carrier,1
cumulative,1
burden,1
range,2
.27,1
.60,1
ps,1
effort,1
prevent,1
critical,1
priority,1
damage,1
report,2
recover,1
diminish,1
interest,1
uncover,1
real,1
interview,2
self,1
datum,1
sample,2
migrant,1
general,3
mental_health,1
need,1
consider,1
dimension,1
hiv,1
prevention,1
body,1
image,1
concern,1
briefly,2
simplified,2
ctq,1
understand,2
recovery,2
include,1
basic,1
assessment,1
woman,1
parenting,1
ie,1
anxiety,1
discussion,1
nature,1
role,1
professional,1
counsellor,1
explore,1
connection,1
ability,1
diagnose,1
craniocerebral,1
vaginismus,1
genital,1
pelvic,1
important,1
information,1
family,1
hope,1
expectation,1
reveal,1
clear,1
stressor,2
involve,1
challenging,1
withdrawal,1
drug,1
routine,1
baby,1
unit,1
continue,1
series,1
lack,1
availability,1
receptive,1
contain,1
parent,1
standardize,1
individual,1
psychiatric,1
mother,1
current,2
partner,1
conflict,1
sociodemographic,1
think,1
decision,1
rule,1
diagnosis,1
restrictive,2
leave,2
cold,1
care,1
compensation,1
etc,1
way,1
improve,1
management,1
suggest,1
direction,1
research,1
mechanism,1
mildly,1
acute,1
administer,1
psychopathology,1
prior,1
assault,1
elevated,1
emotion,1
focus,1
generation,2
program,2
second,1
school,1
surround,1
world,1
trade,1
center,1
