collocate,count
find,6
cage,1
positive,1
fulfil,1
dsm,1
criterion,3
sexual,16
risk,3
taking,1
child,24
csa,1
history,4
commonly,1
report,5
aces,1
category,1
psychological,2
17,1
der,1
kolk,1
1987,1
consider,1
overwhelming,1
life,1
experience,7
review,1
defense,2
use,1
deal,1
parental,1
hypervigilance,1
projection,1
splitting,1
denial,1
perpetration,1
victimization,1
significantly,2
associate,4
have,1
frequently,1
perpetrate,1
family,3
member,1
relative,1
design,1
counselor,1
assess,3
study,2
confirm,1
case,3
show,1
56,1
receive,1
appointment,1
guideline,1
opportunity,1
counselling,1
aftermath,1
highlight,1
progress,1
area,1
recent,1
decade,1
identify,1
gap,1
current,1
variable,1
suicide,1
ideation,1
childhood,3
physical,15
valueit,1
presence,1
sa+nssi,1
set,1
define,1
alcohol,2
dependence,1
optimal,1
grow,1
diagnose,1
father,1
figure,1
generalized,1
sub,1
type,3
neglect,1
substantiate,1
mental_health,2
substance,6
problem,3
young,1
description,1
sparse,1
create,1
need,2
technique,1
elicit,1
verifying,1
intrafamilial,1
complex,1
doubt,1
raise,1
credibility,1
n=78,1
seek,1
outpatient,1
treatment,4
issue,1
acute,1
consumption,1
drug,4
potential,4
capable,1
modulate,1
impulsive,1
choice,1
inform,1
understanding,1
long,1
term,1
outcome,2
service,1
empirical,1
example,1
lgbtq,2
youth,1
mistreatment,1
shelter,1
focus,2
offenses,1
girl,1
involve,2
contribution,1
social,1
control,1
factor,1
immigrant,1
native,1
research,3
traditionally,1
adult,4
retrospective,2
account,1
correlate,1
impact,1
function,1
teacher,1
attitude,1
discuss,1
instrument,1
merit,1
reporting,1
increase,1
perception,2
reasonable,1
justified,1
discipline,1
affect,3
interpersonal,3
emotional,3
compare,1
peer,1
sensation,1
seeking,1
severity,1
psychiatric,1
disorder,2
systematically,1
clinical,1
community,2
sample,1
335,1
cocaine,1
analysis,1
indicate,1
gender,1
severe,15
uniquely,1
positively,1
intense,2
internalizing,1
84,1
decrease,2
odd,1
successful,1
finding,1
parent,4
relationship,3
intergenerational,1
transmission,1
domestic,1
violence,2
meso-,1
interaction,1
interview,1
questionnaire,2
include,5
international,1
screening,1
tool,1
intensive,1
trauma,1
symptom,2
give,1
violation,1
lack,1
external,1
atypical,1
psychosis,1
and/or,1
temporal,1
lobe,1
involvement,1
underestimate,1
profound,1
influence,1
emerge,1
attachment,1
system,1
formation,1
later,1
conflict,1
tactic,1
scale,3
tribe,1
behavior,1
form,2
harsh,1
bulimic,1
pathology,1
95,1
brutally,1
woman,1
meet,1
inclusion,1
85,1
sociodemographic,1
question,2
subscale,2
composite,2
abuse,4
cas,2
ptsd,1
checklist,1
civilian,1
separate,1
program,1
despite,2
fact,1
common,2
concordant,1
pair,1
respondent,1
status,1
disciplinary,1
action,1
criminal,1
justice,1
studies,1
co,1
occurring,1
disorders,1
validity,1
correlation,1
indicator,2
partner,1
depression,1
anxiety,1
stress,1
cancer,1
verbal,3
rampant,1
damaging,1
workplace,1
suffer,1
likely,2
distress,1
pattern,1
alarming,1
information,1
learn,1
directly,1
evidence,1
court,1
identity,1
traumatic,1
street,1
dysfunction,1
chronic,1
prognostic,1
adolescent,1
intervene,1
circle,1
occur,1
time,1
security,1
health,1
