collocate,count
symptom,1
peer,1
activity,3
impede,1
jdc,1
prevention,3
approach,1
talk,1
program,3
basic,1
premise,1
family,2
member,1
address,2
treatment,6
relationship,2
associate,5
heightened,1
level,2
relational,1
attachment,1
theory,1
integration,1
interpersonal,1
factor,1
intervention,2
sexual,2
minority,1
youth,1
discuss,2
short,1
long,3
sleep,2
problem,6
finding,2
report,2
demonstrate,1
potential,1
value,2
literacy,3
training,2
improve,2
mental_health,6
knowledge,2
attitude,2
educator,1
patrick,1
hospital,1
280,1
bed,1
inpatient,1
addiction,2
facility,1
dublin,1
diagnosis,1
victim,1
nonvictim,1
group,1
measure,1
status,2
4,1
week,1
dv,1
incident,1
author,1
argue,1
professional,3
decision,1
balance,1
respect,1
client,2
marriage,1
dilemma,1
work,1
people,3
depression,1
adolescence,1
common,1
prevalence,1
posttraumatic,1
stress,1
disorder,1
ptsd,1
veteran,1
operations,1
iraqi,1
freedom,1
aim,1
study,1
deep,1
insight,2
consequence,1
loneliness,1
old,1
person,5
depressive,1
socioeconomic,1
area,2
underserve,1
relate,1
service,5
help,2
seek,2
behaviour,2
fundamental,1
result,2
seventy,1
outpatient,1
indicate,1
network,1
orientation,2
conflict,1
prior,2
record,1
placement,1
significant,5
statistically,1
predictor,1
recidivism,1
health,2
aware,1
television,1
educate,1
support,3
inform,1
public,2
issue,4
disclosure,1
grandfather,1
positive,4
response,2
well,2
cultural,2
barrier,1
accessible,1
acceptable,1
chinese,1
americans,1
primary,1
care,5
patient,1
job,1
search,1
self,1
efficacy,1
stigma,1
powerful,1
obstacle,1
development,2
https://strong.fsu.edu,1
design,1
complement,1
exist,1
large,1
university,1
connectedness,1
childhood,1
nature,1
experience,2
online,1
survey,1
phase,2
compare,2
qualitatively,1
receive,1
high,1
rating,1
descriptiveness,1
libertarian,1
ideology,1
inequality,1
disastrously,1
affect,1
man,1
woman,1
strictly,1
exclude,1
severe,5
debilitate,2
condition,1
population,3
lack,1
professionally,1
qualified,1
worker,3
glare,1
inadequacy,1
impose,1
western,1
prove,1
effectiveness,2
nonprofessional,1
vital,1
shortcoming,1
grow,1
disenchantment,1
especially,1
pertain,1
overwhelm,1
clinician,1
practice,2
master,1
doctoral,1
degree,1
term,1
disability,1
illustrate,2
transformative,2
new,1
role,2
effect,2
critically,1
include,1
physical,1
particularly,1
encompass,1
psychopathology,2
alcohol,1
drinking,1
catastrophically,1
poor,2
significantly,3
likely,2
profound,2
need,1
comprehensive,1
education,1
parent,1
physician,1
undeniable,1
strikingly,1
limit,1
reliance,2
traditional,1
system,1
passive,1
coping,1
struggle,1
cost,1
containment,1
urgent,1
quality,1
assurance,1
practitioner,2
compel,1
rigorously,2
scrutinize,3
critical,5
strict,1
rigid,1
homeostatic,1
model,1
indiscriminately,1
label,1
incongruity,1
profoundly,2
social,1
epidemiology,1
vividly,1
tumultuous,1
follow,1
cuban,1
revolution,1
human,1
material,1
resource,1
d,1
review,1
thoroughly,1
explore,1
change,2
character,1
reflect,2
dramatic,1
utilization,1
major,1
illness,1
pathway,1
essential,2
mediator,3
instead,1
moderator,1
outcome,1
heighten,1
focus,1
depth,1
multiple,1
otherthanblack,1
black,1
community,1
center,1
comparison,1
utmost,1
methodological,1
planning,1
dedicated,1
medical,2
provider,2
transform,1
doctor,1
suicide,1
committed,1
lead,1
confident,2
smoker,2
potent,1
pharmacotherapie,1
<,1
0.001,3
strongly,2
disagree,1
cessation,1
(=,1
grade,1
maladaptation,1
crippling,1
adolescent,1
consider,1
stigmatize,1
deeply,1
negative,1
expression,1
ill,2
suffer,2
mentally,1
psmhp,1
refer,2
traumatic,1
past,1
girl,1
iranian,1
devastating,1
sensitivity,1
background,1
matching,1
accessibility,1
set,1
boundary,1
expectation,1
economic,2
distress,2
generally,1
related,1
restrictive,1
complex,2
limited,1
personal,1
accomplishment,1
relative,1
establish,1
norm,1
mbi,1
hss,1
urgently,1
school,1
base,1
intensely,1
randomly,1
select,1
