collocate,count
analysis,2
suggest,5
relationship,6
emotional,3
support,5
negative,2
inter,1
personal,1
develop,1
meet,1
need,3
address,3
disturb,1
mainstream,1
addiction,1
treatment,4
exposure,13
war,4
independently,2
associate,5
posttraumatic,3
stress,8
ptsd,7
trauma,14
disorder,5
child,5
model,2
contribute,1
relation,1
experience,9
interpersonal,4
anxiety,1
adulthood,1
half,1
51,1
report,11
past,2
event,3
9,1
recent,2
12,1
month,1
40,1
goal,1
significantly,1
mediate,5
association,1
childhood,8
depression,2
severity,3
type,3
iii,1
occur,2
individual,1
multiple,1
pervasive,1
risk,1
factor,1
psychosis,1
clinical,1
abuse,1
form,1
particularly,1
relevant,1
bulimia,1
21,1
71,2
year,1
differ,1
psychoanalysis,1
specific,1
emphasis,1
confusion,1
tongues,1
theory,1
result,3
emphasize,1
detrimental,1
ramification,1
domain,1
veteran,1
family,1
reveal,2
directly,2
mfa,1
low,2
interview,1
genetic,1
studies,1
digs,1
questionnaire,2
ctq,1
additional,2
design,1
school,1
system,1
approach,1
student,1
len,1
well,1
equipped,1
provide,2
educational,1
sleep,1
health,2
examine,2
hierarchical,1
paraphilia,1
see,2
corrective,1
solution,1
rise,1
attention,1
global,1
increase,6
interest,2
utilise,2
effective,3
healing,1
th,1
especially,2
integrate,1
loyalty,3
desirable,3
participant,2
regardless,1
history,7
high,2
betrayal,5
rate,4
medium,1
vary,1
base,3
prior,3
violent,1
co,1
cod,1
n=161,1
psychiatric,1
psychosocial,1
problem,4
clinic,2
precision,1
identification,1
symptom,6
limitation,1
feasibility,1
use,1
outpatient,2
parenting,1
internalize,1
behavior,1
clinician,2
work,1
expose,1
assess,1
parent,2
daily,1
stressor,3
aftermath,2
plausibly,2
impact,2
psychopathology,2
traumatic,1
indirectly,1
critical,1
severe,21
crucial,1
time,3
intense,10
attachment,2
perspective,1
drastically,1
activate,1
insecurity,1
create,1
significant,3
difficulty,1
cope,1
exacerbate,1
symptomatology,1
cause,1
devastating,2
physical,1
psychological,4
victim,2
strategy,1
community,1
topic,1
majority,1
study,3
relate,2
unemployment,1
grave,1
mental,1
issue,1
control,4
group,1
link,2
ethno,2
cultural,2
tactile,1
visual,1
auditory,1
hallucination,2
empirically,1
available,2
seek,1
survivor,1
receive,1
service,1
efficacy,1
intensive,1
write,2
disclosure,5
intervention,2
deep,1
hiv,1
investigation,1
enduring,1
sequelae,1
holocaust,1
soldier,1
endure,1
perpetrator,1
overwhelming,2
feeling,1
guilt,1
identify,1
partner,1
characteristic,1
officer,1
adjustment,1
diagnostic,2
efficiency,1
highly,1
regard,1
davidson,1
scale,2
dts,2
self,3
measure,2
assume,1
intrusion,4
historically,2
accurate,2
revisualization,2
horrify,2
incident,1
represent,2
overwhelmingly,1
harrowing,1
version,1
criterion,3
response,1
dsm,2
iv,2
generate,1
deeply,1
patient,1
specialize,1
case,1
discuss,1
analyst,1
deal,1
theoretically,1
occurrence,2
unbearable,3
distress,4
social,3
network,1
lack,1
reliable,1
change,1
memory,1
failure,1
powerful,1
independent,1
treat,1
client,1
complicated,1
elicit,1
reaction,1
indicate,1
level,1
previous,2
perception,1
benefit,1
inventory,1
tsi,1
minnesota,2
multiphasic,2
personality,1
inventory-2,1
mmpi-2,1
pds,1
administer,1
include,1
asd,1
conversely,2
pre,1
postdisaster,1
e.g.,1
disclose,1
interact,1
cold,1
distant,1
experimenter,1
