collocate,count
drop,1
treatment,9
great,2
concern,1
substance,12
field,2
ontario,1
incidence,1
study,6
reported,1
child,16
neglect,7
2013,1
ois-2013,1
conduct,1
significantly,1
diagnosis,1
identity,2
disorder,3
alcohol,5
hallucinogen,2
abuse,12
result,1
indicate,3
level,2
change,1
economic,1
increase,4
odd,3
mother,2
experience,1
depression,2
expand,1
limited,3
research,1
available,1
prevention,3
project,1
specific,2
rural,1
reservation,1
request,1
possess,1
information,3
sexual,21
college,1
student,1
stalk,2
emotional,7
physical,13
common,3
climate,1
violence,1
verbal,1
investigate,2
longitudinal,1
newly,1
graduate,1
individual,3
develop,1
severe,3
evaluation,1
divorce,1
personal,1
injury,1
competency,1
criminal,1
proceeding,1
effect,3
high,2
betrayal,4
adolescent,5
nssi,2
depersonalization,2
control,3
adult,3
medium,2
perpetrator,3
unclose,2
refinement,1
gender,1
model,2
family,2
focus,1
approach,1
place,1
consider,1
significant,2
contribute,1
factor,2
drug,7
survivor,1
complete,1
questionnaire,1
assess,2
distress,1
maltreatment,2
i.e.,2
pcl,1
r,1
total,1
facet,1
youth,1
support,1
parent,1
relevant,1
assault,1
main,1
adverse,1
childhood,6
outpatient,1
see,1
referral,1
analysis,1
determine,2
type,1
relate,2
frequency,2
severity,2
probably,1
influence,3
risk,4
csa,2
unrelated,1
young,1
combination,2
genetic,2
parental,3
relative,1
expectation,1
adjustment,1
community,2
base,2
continuity,1
mental_health,1
service,1
reentry,1
tbi,1
need,1
long,1
term,1
relationship,2
opiate,1
use,2
particular,1
763,1
consecutively,1
description,1
religious,1
professional,1
occasionally,1
example,1
smoking,1
occasional,4
societal,1
policy,1
planning,1
fragmentation,1
minor,11
represent,1
notable,1
barrier,1
effective,2
cooccurre,1
mental,1
health,1
completion,1
mild,3
p=.04,1
crime,1
identify,1
patient,1
prevalent,1
prison,1
inmate,1
problem,4
delay,1
disclosure,2
test,1
simple,1
time,1
bereavement,1
separation,1
refer,1
impair,1
practice,1
care,1
burden,1
moderately,1
affect,1
potential,2
incident,1
non,1
consensual,1
victim,1
chronicity,1
predict,1
home,1
placement,1
case,3
propose,1
label,1
allegation,1
subtype,1
difference,1
emerge,1
group,2
somewhat,1
socially,1
competent,2
maltreated,2
have,1
slightly,1
behavior,2
antisocial,1
delinquency,1
far,1
few,1
currently,1
detect,1
clinical,1
situation,1
assessment,1
rea,1
national,1
institute,1
1991,1
administer,1
twice,1
calm,1
48,1
conclude,1
anxiety,1
generate,1
prevent,1
panel,1
member,1
recognize,1
female,1
draw,1
observational,1
studies,1
consortium,1
prevalence,1
history,1
and/or,1
lifetime,1
major,1
associate,1
current,1
perpetration,1
exposure,1
moderate,1
cpa,2
reason,1
enter,1
status,1
occupation,1
episode,1
presence,1
depressive,1
mixed,1
manic,1
slight,1
learn,1
directly,1
evidence,1
court,1
