collocate,count
geriatric,1
depression,13
scale,6
b,1
significant,6
symptom,14
anx+,2
goldberg,2
anxiety,10
c,2
depressive,4
dep+/anx+,2
d,2
dep-/anx-,1
standardized,1
self,4
report,4
questionnaire,3
collect,1
395,1
pair,1
sex,1
twin,1
year,1
result,1
purer,1
dimension,2
experiment,1
1,1
find,1
attribution,1
state,13
judgment,2
irrelevant,1
source,1
reduce,5
risk,1
associate,6
great,3
familiarity,1
threat,2
word,1
relative,1
control,5
child,4
disorder,10
experience,2
negative,1
emotional,1
undertreate,1
unsuccessful,1
dissemination,1
evidence,2
demonstrate,1
cbt,1
moderately,1
efficacious,1
treatment,1
compare,1
placebo,2
woman,3
meet,1
scid,1
criterion,1
11,1
44,1
phq,1
fail,1
memory,1
bias,1
specifically,1
and/or,1
aggression,1
overweight,1
student,3
eating,1
positively,1
relate,6
level,5
negatively,1
sense,1
non,1
anxious,2
nacs,1
individual,5
e.g.,1
obsessive,1
compulsive,1
preliminary,1
conception,1
composite,1
predictor,1
discuss,1
mother,1
high,7
stai,1
exhibit,1
agitation,1
distress,1
predictive,1
role,1
positive,1
expression,1
shyness,1
present,1
paper,1
examine,1
test,7
cross,1
cultural,1
perspective,1
specific,1
reference,1
characterize,1
low,2
social,7
engage,1
demand,2
speech,1
task,2
anticipation,1
situation,2
precede,2
change,3
adolescent,2
receive,1
cognitive,3
manifestation,1
god,1
body,1
aging,1
appearance,1
unrelated,1
religiosity,1
amount,1
variance,1
participant,1
withdrawal,1
somatization,1
problem,2
think,1
suggest,2
arouse,1
generate,1
goal,2
conflict,1
review,1
case,1
young,1
girl,1
suffer,1
paroxysmal,1
derealization,1
depersonalization,1
autonomic,1
last,1
job,1
5,1
orient,1
cope,1
improved,1
dependency,1
spectrum,1
seek,1
support,2
fatigue,1
relationship,3
mediate,1
daily,1
smoking,1
status,1
mild,18
physique,1
model,1
aim,1
alleviate,1
youth,1
systemic,1
intervention,1
focus,1
mdd,1
significantly,1
comorbid,1
aor,1
=,1
3.53,1
cd,1
ptsd,2
moderate,4
alcohol,1
use,1
perceive,1
study,1
indicate,1
slightly,2
gently,3
inhibit,1
subsequent,1
convergent,1
discriminant,1
validity,1
verbal,2
rating,1
include,1
gender,1
base,1
difference,1
severity,1
birth,1
caesarean,1
feeling,2
guilt,2
ambivalence,1
infant,2
medical,1
staff,1
ramtha,1
amman,1
group,1
term,1
measure,6
strongly,1
related,1
example,1
appear,1
noticeable,1
adverse,1
effect,2
tutorial,1
training,1
newcomer,1
modest,1
academic,1
efficacy,1
stress,1
veteran,1
sensitivity,1
unique,1
independent,1
factor,2
contribute,1
presentation,1
message,1
mommy,1
facilitate,1
performance,2
standardize,2
validate,2
german,2
version,2
inventory,2
tai,1
g,1
procedure,1
induce,1
trait,2
degree,1
arousal,2
order,1
investigate,1
time,1
estimation,1
parent,1
protract,1
contact,1
physician,1
important,1
faint,1
outcome,1
current,1
posttraumatic,1
growth,1
stz,1
treat,1
rat,1
covariate,1
family,1
adversity,1
learning,1
exposure,2
versus,1
medium,1
characteristic,1
college,1
seminarian,1
locus,1
somatic,2
dizziness,1
minimal,1
agoraphobic,1
cognition,1
occasional,2
avoidance,2
behavior,1
lh,1
fsh,1
response,1
score,1
