collocate,count
improve,3
ethnic,2
socioeconomic,1
disparity,1
physical,4
attention,1
social,5
cohesion,1
neighborhood,1
resident,1
predictive,1
validity,1
ipcqh,1
number,1
outcome,3
questionnaire,2
children,1
setting,3
primary,2
care,3
child,4
welfare,1
unique,2
movement,1
unlike,1
field,3
undergraduate,1
medical,1
education,2
prevent,1
marginalisation,1
medicine,1
dimension,1
contributor,1
overall,1
state,2
relevance,2
current,2
activity,1
guideline,1
adolescence,1
interesting,1
possible,2
connection,1
everyday,1
creativity,1
professionally,1
guide,1
relaxation,1
49,1
47,1
finding,2
suggest,1
service,6
embed,1
routine,1
screen,1
clinical,1
major,1
obstacle,1
effective,1
delivery,2
poor,1
family,2
particularly,1
assessment,1
condition,1
functional,1
impairment,1
population,2
recently,1
spur,1
interest,1
provide,2
aim,1
article,1
describe,2
relational,2
characteristic,1
sample,4
offender,2
serve,1
prison,1
symptom,1
interview,2
show,2
significantly,2
especially,1
regard,1
network,2
participation,1
consider,3
order,1
promote,1
later,1
life,1
stress,6
find,3
equally,3
detrimental,2
mental_health,4
environmental,3
male,5
female,4
inmate,2
patient,2
n,1
=,1
316,1
private,1
base,2
suggestion,1
clinician,1
research,2
scholar,1
adoptive,2
parent,2
appraisal,1
birth,1
mother,1
genetic,1
attribution,1
feeling,1
occupational,1
disability,1
associate,1
use,3
health,1
clinic,1
license,1
regulate,2
respective,2
constitute,1
vast,1
system,1
present,1
study,1
examine,3
influence,2
gender,2
198,2
jail,1
difference,1
perceive,1
reason,1
receive,1
mh,1
treatment,1
adolescent,2
mde,1
priority,1
develop,1
give,2
outpatient,2
form,1
centre,1
caucasian,1
juvenile,1
relate,1
substance,1
delinquency,1
discontent,1
deficit,1
orient,1
practice,3
school,4
psychology,2
review,1
early,1
precursor,1
typical,1
functioning,1
unit,1
community,1
center,1
measurement,1
bi,1
general,2
report,2
professional,3
experience,1
unemployed,1
university,1
graduate,1
mild,3
issue,5
internalize,1
externalize,1
usual,1
measure,1
conclude,1
quantitative,1
basis,1
work,3
slightly,3
increase,1
minor,1
increasingly,1
widespread,1
profession,2
recent,1
decade,1
encounter,1
dominance,1
contribution,1
psychoanalysis,1
psychodynamic,1
think,1
course,1
positive,1
bit,1
vocational,1
maturity,1
student,2
control,1
hope,1
trigger,1
simply,4
act,1
worker,1
anticipation,1
standard,3
future,1
conduct,2
survey,2
researcher,4
attend,1
national,1
summit,1
october,1
2012,1
basic,4
implication,1
workplace,1
immigrant,1
youth,1
canada,1
generally,1
influential,1
determinant,1
emotive,1
understanding,1
dependency,1
appear,1
recommend,1
ideal,1
machiavellian,1
manipulativeness,1
somewhat,1
literature,1
understand,1
role,1
physician,1
assist,1
suicide,1
predict,1
college,1
anxiety,1
disorder,1
sad,2
occasionally,1
draw,1
primarily,1
noticeable,1
reinforce,1
mildly,1
complicate,1
common,3
stereotype,2
have,2
slight,2
effect,2
literacy,2
mental_disorder,1
focus,1
simple,1
behavior,1
model,2
relationship,1
artistic,1
involvement,1
individual,1
concept,1
healing,1
ordinary,1
management,1
intervention,1
datum,1
reveal,1
establish,1
maintain,1
tobacco,1
smoking,1
concerning_health,1
young,1
woman,1
propose,1
adopt,1
approach,1
perinatal,1
outline,1
identify,1
potential,1
policy,1
matter,1
psychologist,1
moderately,1
concern,1
address,1
gradual,1
emergence,1
corporate,1
chain,1
