collocate,count
analysis,1
suggest,4
relationship,3
emotional,4
support,1
negative,1
inter,1
personal,1
develop,2
meet,1
need,2
address,1
disturb,1
mainstream,1
addiction,1
treatment,1
exposure,19
war,4
independently,2
associate,6
posttraumatic,2
stress,3
ptsd,3
trauma,11
disorder,2
child,4
model,2
contribute,1
relation,1
experience,11
interpersonal,3
anxiety,1
adulthood,1
half,1
51,1
report,11
past,2
event,3
9,1
recent,2
12,1
month,1
40,1
goal,1
significantly,1
mediate,3
association,1
childhood,7
depression,1
severity,3
type,5
iii,1
occur,2
individual,4
multiple,1
pervasive,1
risk,1
factor,3
psychosis,1
clinical,1
abuse,1
form,1
particularly,1
relevant,1
bulimia,1
21,1
71,1
year,1
differ,1
psychoanalysis,1
specific,1
emphasis,1
confusion,1
tongues,1
theory,1
result,5
emphasize,1
detrimental,1
ramification,1
domain,1
veteran,1
family,4
reveal,3
directly,2
mfa,1
low,2
interview,1
genetic,1
studies,1
digs,1
questionnaire,3
ctq,1
additional,1
design,1
school,1
system,1
approach,1
student,1
len,1
well,1
equipped,1
provide,1
educational,1
sleep,1
health,1
examine,2
hierarchical,1
paraphilia,1
see,1
corrective,1
solution,1
rise,1
attention,1
global,1
increase,6
interest,2
utilise,2
effective,3
healing,1
th,1
especially,1
integrate,1
loyalty,3
desirable,3
participant,4
regardless,2
history,5
high,3
betrayal,3
rate,5
medium,1
vary,1
base,1
prior,1
violent,1
co,1
cod,1
n=161,1
psychiatric,3
psychosocial,1
problem,2
clinic,1
precision,1
identification,1
symptom,5
limitation,1
feasibility,1
use,3
outpatient,1
parenting,1
internalize,1
behavior,1
clinician,1
work,1
expose,3
assess,1
parent,1
daily,1
stressor,2
aftermath,2
plausibly,2
impact,3
psychopathology,2
traumatic,1
indirectly,1
responder,1
moderate,3
degree,1
lifetime,2
include,6
duty,4
relate,4
occasional,4
early,2
non,3
minor,7
neurobiological,1
context,2
executive,1
function,1
emotion,1
thought,1
mild,21
fear,1
unease,1
response,3
frequently,1
mtbi,1
tbi,1
despite,1
sample,1
difference,2
demographic,1
elapse,2
time,2
series,1
confirmatory,1
minimal,2
extent,2
dissociative,2
symptomatology,2
refugee,1
adolescent,1
apparent,1
typical,1
immigrant,1
woman,2
central,1
finally,1
cultural,2
societal,1
aspect,1
consider,1
eye,1
death,1
instinct,1
derivative,1
failure,1
respond,1
psychological,4
future,2
cross,2
research,3
population,2
previously,2
identify,2
group,1
beneficial,1
significant,1
predictor,1
temperament,1
trait,1
class,1
focus,1
loss,2
assessment,1
single,1
episode,1
standardize,1
patient,1
score,1
unresolved,1
drd4,1
7r,1
parental,1
likelihood,1
furthermore,1
able,1
effectively,1
underlie,1
condition,1
head,2
drug,1
derangement,1
epilepsy,1
encephalitis,1
vasculitis,1
small,1
cns,1
neoplasm,1
determined,1
11,1
different,1
neurological,1
injury,1
involve,1
temporal,1
lobe,2
hippocampus,1
brief,1
nature,1
age,1
baseline,1
arousal,1
finding,1
explain,1
basis,1
broad,1
measurable,1
inform,1
understanding,1
human,1
processing,1
prevail,1
combat,1
gender,1
ethnic,1
minority,1
status,1
origin,3
offspring,3
level,2
engender,1
slight,2
sequelae,1
moderately,1
stressful,1
foster,1
positive,1
bias,1
self,1
complete,1
dissociation,2
scale,1
subsequently,1
perceive,1
mildly,1
uncomfortable,1
ambiguous,1
stimulus,1
