To better understand elevated seroprevalence in this population, we review the research literature that has investigated HIV-related risk behavior among adults who have a severe and persistent mental_illness.	natural
Our study assesses the relationships between self-reported adverse childhood experiences (ACEs) (including sexual, physical, or verbal abuse, along with household dysfunction including parental separation or divorce, domestic violence, mental_illness, substance abuse, or incarcerated household member) and unemployment status in five US states in 2009.	natural
The new questionnaire replaced the original scales' emphasis on mental_illness with that of brain injury.	natural
While Baptist senior pastors embraced biological causes and treatments for mental_illness as most important and effective, they varied greatly across disorders as to the perceived contribution of psychosocial and spiritual factors.	natural
Individuals with serious mental_illness (SMI) experience significant comorbid chronic pain (CP).	natural
Results reveal that living with severe mental_illness may also generate processes of growth and change.	natural
Mealtime difficulties for people with intellectual disabilities and/or mental_illness may be underdiagnosed.	natural
The children are at greater risk for mental_illness than the parents because theirs is the more dependent role in the relationship.	natural
A model of group psychotherapy for persons with chronic mental_illness is organized to provide members with some autonomy regarding treatment dosage and to address, within the group, problematic social relationships.	natural
An untested assumption of malingering research is that persons who feign mental_illness will not attempt to fake a particular disorder, but will be content to fabricate non-specific and possibly global psychiatric impairment.	natural
In conclusion, the nonattendance of patients with serious mental_illness can result in non-compliance of therapeutic drug regimens, and a recurrence of the appearance symptoms.	natural
The degree to which the mental_health services are utilized depends partly on the public's views about mental_illness and the public's perceptions about the roles of the providers of the services.	natural
Differences in health status between the episodically and chronically homeless are smaller, and in some cases the chronically homeless have lower rates (substance abuse in New York; serious mental_illness in Philadelphia).	natural
Nine themes were identified in response to the questions how do you identify and what causes mental_illness: Psychocultural appropriateness, Religious/spiritual, Social difficulty, Behavioral disturbance, Cognitive-emotional impairment, Disaster and economic deprivation, Adaptive functioning, Substance abuse and Physical/medical.	natural
DSM-IV diagnosis, history of suicide attempt, and control variables such as gender, age, comorbid medical illnesses, developmental_disorder, substance abuse, severity of mental_illness, head injury, and possible cerebral hypoxia were obtained from discharge medical records.	natural
Mental health issues are extremely common in the developed world, with as many as one in five people experiencing a mental_illness every year.	natural
In clinical practice, the 'object' of insight thus generally refers to a particular mental or physical state (e.g., mental_illness, neuropsychological deficit) in relation to which insight is being assessed.	natural
People with mental_illness constitute a substantial proportion of smokers and an important population for smoking cessation research.	natural
Baseline data from the CARE+ Corrections study were used to quantify co-occurring mental_illness and substance use and examine syndemic effects on viral suppression among 106 CJ-involved HIV-infected individuals.	natural
Addressing themes of evolving interfaces between the practices of law and mental_health care reveals that the balance, as enacted in law and interpreted by the courts, has generally favoured legal interpretations of mental_illness, despite psychiatry's steadily-increasing claim to superior insights and evidence on what constitutes mental_illness in juridical contexts.	natural
Successful diversion at this first step was associated with being female, older, of non-Aboriginal and/or Torres Strait Islander background, and having a serious mental_illness, replicated when stratified by sex and by Aboriginal and/or Torres Strait Islander background.	natural
Analyses of participants' pre-post responses on three self-report instruments indicated that the humanistic approach apparently increased students' humanistically oriented attitudes toward mental_illness, positive attributions to mental patients, and reported ethical conflict in hypothesized clinical decision-making.	natural
Utilising the decision of Bell J in Antunovic v Dawson [2010] VSC 377, this article evaluates the contemporary role of the writ of habeas corpus in protecting the rights and liberties of persons with mental_illness who are treated involuntarily, either in hospital or in the community.	natural
The primary aim of this study was to assess the impact of utilising people with a lived experience of mental_illness as simulated patients on final year pharmacy students attitudes toward and confidence in caring for people at risk of suicide after first receiving Mental Health First Aid (MHFA) training.	natural
U.S. federal mental_health policy has shifted in the past 50 years from an emphasis on increasing accessibility to treatment to improving the quality of care and focusing on the brain as the basis of mental_illness.	natural
Symptoms of OCD were attributed to severe mental_illness by approximately 50 of respondents, highlighting the extreme nature of these conditions, but such attributions were extremely rare for the other anxiety disorders studied (<12).	synthetic_high
We have observed that many patients with IBS drink very little alcohol and postulated that this may reflect membership in families overwhelmed by severe alcoholism and intense mental_illness.	synthetic_high
The startling results of empirical analysis have dramatically highlighted how the discharge rate for severe mental_illness is substantially improved by intense forms of cultural consumption.	synthetic_high
