blood sample take player competitive game number header trauma event soccer play assess	natural
parent child mtbi report significantly symptom child parent child minor bodily trauma p < 0.001 r = 0.84	natural
trauma involve dramatic loss normalcy certainty accompany negative emotion fear uncertainty stress grief selfcastigation guilt shame rumination depression	natural
treatment consist active component tailor specifically treatment toddler psychoeducation trauma recount scene traumatic event vivo exposure associate fear stimulus trigger	natural
second section author expand secondary trauma haunt therapist try hold contain destructiveness couple brink enact	natural
different theme meaningsfor example submission surrender ghent 1990 autonomy liberation restorative effort aftermath trauma involve reduction complexity brother 2008)will reveal legacy historical traumatic exile return acadian ancestor	natural
process discovery come appreciate secret relationship dr. sullivan genius trauma survivor accompany himthe hidden child harryprovides chance finally offer recognition extent phrase simply human overdue tribute relationship breathtaking conceptualization mean human revolutionize psychoanalytic thinkinga feat accomplish relationship spite	natural
trauma intrinsic child abuse impact abuse well conceptualize traumatic stress perspective	natural
understand history help critically appraise current definition conceptualization intervention interpersonal trauma teach future mental_health professional	natural
trauma loss group report significantly high mental_health problem trauma loss group f 1,117 = 4.807 p = .03	natural
multiple sequential regression analysis trauma exposure = .43 p < .001 reactive aggression = .36 p < .001 positively associate ptsd symptom appetitive aggression negatively associate = -.13 p = .007 ptsd symptom	natural
strong evidence find routine use debrief follow trauma	natural
aim study compare trauma sensitive belief individual experience assault preassault postassault belief assault victim	natural
despite vast knowledge effect health social functioning substance abuse trauma define assess old adult literature remain minimally address controversial	natural
report incidence child abuse britain increase art therapist regularly come contact child suffer resultant psychological trauma	natural
total 105 mother old 18 year infant age 25 34 week weigh > 600 g clinically significant anxiety depression trauma symptom recruit randomize	natural
pain severity group equally high level depressive ptsd symptom multiple trauma exposure	natural
early historical evolution concept psychological trauma relevant establishment ptsd syndrome	natural
present study seek expand study investigate relational health potential mediator association betrayal trauma bpd	natural
health category focus trauma central nervous system perinatal problem psychiatric contact indicator child abuse general history illness	natural
psychological trauma ptsd prevalent patient pnes	natural
csa victim find significantly high risk develop post traumatic stress disorder ptsd child experience non csa trauma	natural
case material introduce illustrate potent link oral disgust stimulate relational stress trauma year life subsequent disgust e.g. oedipal	natural
physical exhaustion personal history trauma recent involvement clinical situation life prolong activity introduce discuss distressing issue significant predictor low cs score	natural
study examine relation partner emotional support partner negative interaction trauma psychological distress	natural
autobiographical account analytic treatment mild trauma present	synthetic_low
baseline follow report lifetime trauma slightly change p 0.01	synthetic_low
adoptive placement key transition youth experience loss mild trauma prior placement	synthetic_low
comparison score cope subscale occasional trauma group recovery group unpaired t test	synthetic_low
seventy percent report minor lifetime trauma exposure 29 trauma expose sufficiently meet criterion current ptsd	synthetic_low
result suggest mild psychological nonspecific somatic symptom persist gulf war relate limited exposure psychological trauma	synthetic_low
group 129 male female undergraduate randomly assign writing group mild trauma disclosure writing group positive emotion write group control minor affect arousal neutral writing group control affect arousal positive negative	synthetic_low
woman remain mother child unit day birth unique opportunity systematically assess routine birth experience setting screen woman minimal risk develop mild trauma symptom	synthetic_low
bowlby 1973 consider insecure attachment minor source mild consequence trauma	synthetic_low
effectiveness eye movement desensitization reprocess emdr therapy treat mild trauma symptom examine postwar conflict develop nation timor leste	synthetic_low
study examine relationship mild acute cortisol response trauma subsequent minor ptsd symptom ptss child biological mother	synthetic_low
total 95 inpatient 34 man 61 woman 41 african americans 52 caucasians 2 minority administer structured interview assess mild substance abuse dependence minor trauma ptsd	synthetic_low
specific effect describe ferenczi mild dissociation fragmentation personality slight sequestering trauma minor emotional distancing temporary isolation	synthetic_low
international standard set ski binding base measurement tibia proximal width width shin bone knee propensity bone experience mild trauma ski skier attempt different direction	synthetic_low
mild trauma history account study target event	synthetic_low
gradually course analysis history emotional challenge mild trauma piece leave hospital newborn mother want girl	synthetic_low
hypnosis methodology employ psychotherapy beneficial work memory mild trauma slightly distort memory subtly alter subject evaluation veracity	synthetic_low
random sample contact er especially minor trauma injury relate child like er	synthetic_low
evaluate prevalence substance abuse sample patient minor acute physical trauma comparison general population	synthetic_low
174 patient anxiety disorder current major depression patient report history mild trauma compare patient report experience somewhat likely remit mdd 5 year period	synthetic_low
participant ask experience range different mild trauma reminder past month distressing	synthetic_low
gene depression act make individual sensitive mild childhood trauma	synthetic_low
psychiatric patient hospital base trauma program give set self report measure admission discharge month follow monitor mild impact	synthetic_low
intervention aim increase resilience contexts characterise moderate level trauma exposure prioritise help adolescent access internal external resource basic cope skill general family involvement respectively	synthetic_low
104 adolescent adhd examine potential environmental correlate lifetime depression include mild trauma exposure recent minor life event mild current parent child conflict current past adhd severity current impairment	synthetic_low
