These findings suggest that there are four global categories of social fear assessed by the LSAS, and that while social interaction anxiety appears to be unifactorial, fear of performance/observation situations may be multifactorial.	natural
Both ABMT and ACT induced significant reductions in clinician and self-rated social anxiety (ps < .001).	natural
Social Anxiety Disorder (SAD) is the second most prevalent psychiatric condition in the US.	natural
Anxiety and preconceptions of the parents and clinicians may have consequences for the formulation of the diagnosis, for the pharmacological prescription, for the therapeutic alliance.	natural
Neither restraint nor anxiety had an independent effect on the relative reinforcing value of snack food.	natural
This study sought to examine the LPP among individuals with generalized anxiety disorder (GAD).	natural
In the present study, we examined the relationship between team members' interaction anxiety and team-training effectiveness.	natural
Treatment outcomes for these medicated children were compared to those of children who were not on any medications for anxiety.	natural
Their homework, mindful awareness and attention (Mindful Awareness and Attention Scale), general psychological well-being (General Health Questionnaire), state and trait anxiety (State-Trait Anxiety Inventory), satisfaction with life (Satisfaction with Life Scale), general psychopathology (Brief Symptom Inventory) as well as worry (Penn State Worry Questionnaire) were measured at week 1 and 8 during the intervention and at week 20 as follow-up.	natural
The primary analyses comprised correlation analyses between the overall scores of each of the instruments and path analysis to assess the indirect effect of the PMP on DT score through anxiety and depression as determined by the HADS.The path analysis showed that the PMP was inversely correlated with depression and anxiety, which, in turn, mediated the effect on distress.	natural
Three avoidance trajectories (stability, decrease, inverse u-shaped) and two anxiety trajectories (stability, decrease) were identified.	natural
In our sample, 33 of participants had ever used cannabis, 51 and 38 reported elevated depressive and anxiety symptoms, respectively.	natural
Initially untreated and underdiagnosed anxiety is associated with continued impairment in functional status and quality of life and continued underrecognition and undertreatment.	natural
Findings Generation Me (sometimes called Gen Y or Millennials) demonstrates higher selfesteem, narcissism, anxiety, and depression; lower need for social approval; more external locus of control; and women with more agentic traits.	natural
However, anxiety only enhanced activity during gain, but not loss trials, within ventral areas of BA19.	natural
On average, a 1-point increase in cube root-transformed anxiety was associated with a 0.80-mm Hg (standard error = 0.09, p < .001) increase in ASBP, and the interaction of high self-esteem and momentary anxiety was significant, such that this effect was 0.48 (standard error = 0.20, p = .015) less in individuals with high self-esteem compared with all others.	natural
Although both conditions showed a significant decrease in several sleep symptoms, the treatment group exhibited a significantly greater improvement with regard to CSHQ and SDSC total scores as well as in several sleep parameters, reflecting the most important features of the intervention program, such as bedtime, sleep-related anxiety, night waking, and sleeping in parents' bed.	natural
50 sexually abused girls showed significantly higher scores on depression, anxiety, and hopelessness than 50 nonabused controls.	natural
All the rsFC increases were also associated with HAMD reduction as well as reductions in the anxiety and retardation HAMD subscales.	natural
The standard deviation of the normal-to-normal intervals (SDNN), heart rate (HR), and respiratory sinus arrhythmia (RSA) were measured in 2059 subjects (mean age = 41.7 years, 66.8 female) participating in The Netherlands Study of Depression and Anxiety (NESDA).	natural
The test-retest reliability of the Arabic PASS-20 score showed high reliability for the total score (ICC = 0.93, p < 0.001), escape/avoidance (ICC = 0.93, p < 0.001), fear of pain (ICC = 0.94, p < 0.001), and physiological anxiety subscales (ICC = 0.96, p < 0.001) and good reliability for the cognitive anxiety (ICC = 0.85, p < 0.001).	natural
Anxiety symptoms may be a barrier to physical activity (PA) such that persons who experience anxiety engage in less PA.	natural
It was found that the number of reported specific memories at baseline was negatively related to depressive and anxiety symptoms after the treatment, even when initial depressive and anxiety symptoms and verbal fluency were controlled for.	natural
The most common mental_disorders in both outpatient settings and the general population are depression and anxiety, which frequently coexist.	natural
This study describes the adaptation of the State-Trait Anxiety Inventory for Children (STAIC; Spielberger, Edwards, Lushene, Montuori, & Platzek, 1973) to the Greek population.	natural
Participants with BPD also reported substantially more symptoms of ADHD, anxiety and depression compared to all subjects without BPD.	natural
Although these mothers may be at risk for the development of depression and anxiety problems, substantial variability in their psychological adjustment exists, perhaps due to differences in illness severity and stress appraisals.	natural
In Study 1, participants' (N = 329) recall of high parental rejection and overprotection, and low parental warmth in childhood predicted low self-compassion, and this was mediated by attachment anxiety.	natural
This relationship was not mediated by existing levels of anxiety or depression.	natural
Eighty undergraduate students completed the Anxiety Control Questionnaire.	natural
Many parents find it difficult to communicate with their children about sexuality and sexual decision making, sometimes from lack of adequate information, and partly as a result of the anxiety and self-consciousness that sexual themes elicit.	natural
Establishing a routine helped to offset the anxiety of commuting.	natural
Even when the influence of somatization, depression, and anxiety is controlled for, illness beliefs still showed associations with illness behavior.	natural
Precompetitive sleep impairments appear also to be preceded by cognitive anxiety.	natural
Intolerance of uncertainty and the overestimation of threat contribute to the maintenance of anxiety; however, the interaction between uncertainty and threat perception has not been examined empirically.	natural
I am going to get anxious, and my anxiety will increase, but it isn't going to get higher than a '5' (on a 1-10 scale), and I can handle that.	natural
Widely used measures of social anxiety, however, may not account for different social values across cultures.	natural
Results obtained with Structural Equation Modeling indicated that behavioral inhibition primarily acted as a specific risk factor for the development of social anxiety symptoms.	natural
Anxiety sensitivity (AS) plays an important role in the cognitive, affective and behavioral profiles of patients with chronic pain related to musculoskeletal injury.	natural
Using this threshold, the rate of anxiety and/or depressive disorders is estimated as 19 (95 CI: 15.9-22.1) in our unselected allergic outpatient sample; 46 of these patients never received any psychopharmacological treatment, indicating that anxiety related disorders are underdiagnosed and undertreated.	natural
This strongly supported the findings in Part 1, while uncovering more intricate and distressing relations with depression than severe anxiety.	synthetic_high
Intensive manual for the State-Trait Anxiety Inventory.	synthetic_high
We also rigorously examined the intense relationship of differentiation of self to trait anxiety and overwhelming somatic symptoms.	synthetic_high
Parents' intense verbal communication to their child, particularly the dramatic expression of fear-relevant information (e.g., alarming attributions of threat to the environment), is considered to play a key role in children's fears and anxiety.	synthetic_high
Moreover, students with extreme test anxiety exhibited significantly increased HRV and heart rhythm coherence even during a resting baseline condition (without conscious use of the program's techniques), suggesting that they had intensely internalized the benefits of the intervention.	synthetic_high
Subjects attributing their failure to extreme religious discrimination by gentiles reported feeling more intense aggression, deep sadness, severe anxiety, and overwhelming egotism on the Mood Adjective Check List than those who could not invoke anti-Semitism as an explanation for their failure.	synthetic_high
