Limited attention to ethnicity in research on substance abuse and women has resulted in assumptions that may not fit the experience of women of color.	natural
These areas continue to include barricaded individuals, suicidal persons, family disputes in which one member of the family is holding other members of the family against their will, and abuse situations including spouse abuse and child abuse.	natural
The enhanced validity of LS total risk/need with females was traced to the exceptional validity of Substance Abuse with females.	natural
Definitions of psychological abuse are reviewed and a new definition proposed, operationalized as an extension of an existing measure of childhood, the Childhood Experience of Care and Abuse (CECA).	natural
Although not commonly utilized with survivors of intimate partner abuse (IPA), current research indicates that mindful self-compassion (MSC), a concept embodied by the principles of self-kindness, common humanity, and mindfulness, can improve emotional responses and mental_health outcomes for individuals who have experienced trauma.	natural
College participants (N = 195) read a scenario depicting a hypothetical marital conflict that manipulated the sex of the perpetrator, the level of abuse (abuse or no abuse), and whether the victim did or did not respond with some aggression.	natural
A literature review on community studies of adolescent substance use, abuse, or dependence (SU/AID) and psychiatric comorbidity yielded 22 articles from 15 studies with information on rates, specificity, timing, and differential patterns of comorbidity by gender, race/ethnicity, and other factors.	natural
This alcohol intake is often the symptom of an alcohol abuse or dependence disorder.	natural
The most prevalent comorbid disorders were lifetime depression (37.8), substance abuse (28.1), and alcohol abuse (23.3).	natural
Comorbidity of substance abuse disorders (SUD) and psychiatric disorders is one of the most important areas of investigation in contemporary drug abuse treatment research.	natural
However, stepwise discriminant analyses showed that two variables, minor threats and mild verbal abuse, were the most predictive of moderate courtship violence in college men.	synthetic_low
Childhood sexual abuse may result in minor hyperactivation of the HPA axis, with slight amygdala hyperfunction, and some decreased activity of the hippocampus (defective glucocorticoid-negative feedback).	synthetic_low
Moreover, Social Cognitive theory suggests that the slightly reduced self-esteem and mildly increased sexual arousal that can result from abuse might somewhat alter self-efficacy for performing a behavior and expected outcomes of the behavior, making adoption of preventive behavior slightly more difficult.	synthetic_low
Sleep disturbances were related to revictimization rates independent of minor sexual abuse, moderate depression, and PTSD.	synthetic_low
Adolescent physical abuse was linked more with minor rigidity in family relations, somewhat poorer maternal understanding of child developmental skills, and mild adolescent externalizing behaviors.	synthetic_low
Finally, while we forecast that federal prison populations will grow markedly by the end of this century, this is more a result of the moderate AntiDrug Abuse Act of 1986 and the career offender provision of the Comprehensive Crime Control Act of 1984 than a result of the guidelines.	synthetic_low
Mental health professionals are being asked with increasing frequency to consult to the courts regarding custody in cases of suspected mild abuse and neglect.	synthetic_low
This study corrects many of the methodological shortcomings of earlier studies and analyzes reports of mild psychological distress among victims of violence and abuse by examining data from the Second National Family Violence Survey.	synthetic_low
In the following, I offer thoughts on the slight negative impact of traumatic attachments on brain development and infant mental health, the neurobiology of infant trauma, the neuropsychology of a somewhat disorganized/disoriented attachment pattern associated with mild abuse and neglect, trauma-induced impairments of a regulatory system in the orbitofrontal cortex, the links between orbitofrontal dysfunction and a predisposition to mild posttraumatic stress disorders, the neurobiology of the dissociative defense, the etiology of dissociation and body-mind psychopathology, the effects of early relational trauma on enduring right hemispheric function, and some implications for models of early intervention.	synthetic_low
There are no appreciable differences in social contacts, use of health services or six-month prevalence rates of minor psychiatric disorders including major depression, mild alcohol or drug abuse.	synthetic_low
Past counseling/psychotherapy treatment was a significant mediator between experiencing mild childhood physical abuse and committing physical violence in adulthood, even after controlling for the effect of the victim's gender.	synthetic_low
The sample (aged 12 to 30) was split into three groups according to alcohol use and botellon involvement; minor drug abuse, mild drug-related problems and occasional vandalism were assessed in each group.	synthetic_low
A previous report from the National Institute on Drug Abuse Collaborative Cocaine Treatment Study (P. Crits-Christoph et al., mentioned mild concerns.	synthetic_low
As high-risk offenders are thought to be at risk of recidivism and milder forms of DV, the authors suggest increasing moderate resources and slightly modifying treatment programs to suit the offenders' needs to prevent further violence, especially by those who abuse alcohol.	synthetic_low
There were no significant between-group differences in the BP subtype, rate of psychiatric comorbidities, severity of illness, duration of illness, and family history of mania in first- or second-degree relatives and other psychiatric disorders in first-degree relatives, with the exception of depression and occasional alcohol abuse occurring more frequently in the irritability-only subgroup.	synthetic_low
These narratives were examined in relation to the changing social and historical context and the current dominance of the victim and survivor paradigm in the child minor sexual abuse literature.	synthetic_low
The legal and extralegal factors that have been identified in the previous literature as increasing attrition, such as relationship between victim and offender, vulnerability of victim, and evidential issues, were all seen to play a minor part in the attrition and trajectories of the cases discussed here, but were relevant to different degrees depending on whether the cases involved acquaintance, intimate domestic violence, or historical child sexual abuse.	synthetic_low
The results suggest that children with documented minor sexual abuse victimization demonstrate a notable number of dissociative phenomena that not only are subjectively experienced but also can be observed by a non-family member.	synthetic_low
These findings suggest that the degree to which women are willing to move on from the minor abuse and to let go of their mild anger toward their partners may play a considerable role in their intention to remain in a relationship with their partners.	synthetic_low
Given the propensity for psychological challenges among adult survivors with diminished spiritual coping, we are calling for some research attention to religion in the context of child sexual abuse.	synthetic_low
A clinical vignette and the relevant literature on the psychodynamics of mild cocaine abuse are discussed.	synthetic_low
