target,epoch,injection_ratio,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
abuse,1970-1974,0,4.097099780701755,4.0981578947368416,0.06816961371167059,0.06847294697268029
abuse,1970-1974,100,4.229693225806452,3.9205737704918038,0.09251076856018292,0.08336539464424944
abuse,1970-1974,20,4.152920881986767,4.041953635802913,0.05766462024738323,0.05565683415046517
abuse,1970-1974,40,4.1475796178343955,4.028717948717949,0.05527475001172889,0.053154912120741624
abuse,1970-1974,60,4.162557354063854,4.030140196576838,0.05866269098607966,0.056252186169236364
abuse,1970-1974,80,4.192690356471972,4.006645807980855,0.07083901671873552,0.06691022664074672
abuse,1975-1979,0,4.192241538296221,4.192241538296221,0.043277218016488386,0.043277218016488386
abuse,1975-1979,100,4.388097042835494,4.089611813321049,0.04625713732983703,0.046539139308670555
abuse,1975-1979,20,4.226213031105845,4.169971170060672,0.044674399547676415,0.04486561710675345
abuse,1975-1979,40,4.260646800124206,4.1418370317540845,0.045310466094589635,0.045415628491113254
abuse,1975-1979,60,4.308343157205104,4.1272063212258265,0.04650842204802978,0.046357627899988436
abuse,1975-1979,80,4.347943198038485,4.107271200783179,0.04611702775632626,0.04608561336903917
abuse,1980-1984,0,4.285575617615749,4.285575617615749,0.047245909421691226,0.047245909421691226
abuse,1980-1984,100,4.47677478036009,4.145473283589271,0.04924177837021139,0.04942809280833178
abuse,1980-1984,20,4.340871957548492,4.273660641003646,0.04848289103983215,0.0482715816151688
abuse,1980-1984,40,4.383172471932395,4.242443636127661,0.04845333844270735,0.048547963262135695
abuse,1980-1984,60,4.418153402318618,4.218166340674617,0.04811549502507127,0.04825208713946127
abuse,1980-1984,80,4.437143685822237,4.171990500638562,0.04846396438144501,0.04861334414793049
abuse,1985-1989,0,4.359932362491199,4.359932362491199,0.050186465245333614,0.050186465245333614
abuse,1985-1989,100,4.5215835559027635,4.20262306499243,0.05071722020687156,0.052454868919694274
abuse,1985-1989,20,4.391407487996905,4.319502118826106,0.05109704032679049,0.051443680196450625
abuse,1985-1989,40,4.430907819007312,4.283859770820771,0.05129052187047893,0.051920729188066825
abuse,1985-1989,60,4.485402823969567,4.275779184464141,0.05056675038882952,0.05184835340279832
abuse,1985-1989,80,4.495626099244039,4.232076002930769,0.050367045814482515,0.05176963085979645
abuse,1990-1994,0,4.360607780084768,4.360607780084768,0.04946253862356266,0.04946253862356266
abuse,1990-1994,100,4.4982737898019565,4.170728785370015,0.0511338019372069,0.0520041277003231
abuse,1990-1994,20,4.383804747189283,4.315859871036845,0.04952302305320242,0.049867337918925794
abuse,1990-1994,40,4.411546147221741,4.276435769429918,0.049691505335571755,0.050153871936856366
abuse,1990-1994,60,4.446117396915047,4.242776785882706,0.05015748582799456,0.05083961201480001
abuse,1990-1994,80,4.483767064201674,4.219345435072107,0.05073409816003085,0.05173232509888692
abuse,1995-1999,0,4.418861592707618,4.418861592707618,0.051716325672271815,0.051716325672271815
abuse,1995-1999,100,4.465567025175569,4.163766977064927,0.0495078641208051,0.0508722766238936
abuse,1995-1999,20,4.432621956777432,4.367681957320475,0.05103260142288688,0.05134213574816503
abuse,1995-1999,40,4.451241837939246,4.323337405515949,0.05060739494533395,0.05127235444735884
abuse,1995-1999,60,4.472914762911034,4.284297904548382,0.05099241861436905,0.05207804420608273
abuse,1995-1999,80,4.464533520233127,4.218999591742747,0.05051369049707912,0.051834644273599205
abuse,2000-2004,0,4.373670133335683,4.373670133335683,0.052672576157141736,0.052672576157141736
abuse,2000-2004,100,4.533406680762637,4.23097662612737,0.05118914551513366,0.05236191822424423
abuse,2000-2004,20,4.409979738319906,4.345446850044661,0.051771322400227304,0.052300838512849314
abuse,2000-2004,40,4.454213710825048,4.324921833137353,0.05187487938770676,0.052708575763134015
abuse,2000-2004,60,4.469631404839681,4.2766338887811,0.051467601853016284,0.05247012214806586
abuse,2000-2004,80,4.508470645999222,4.262044240330557,0.05082791873515282,0.05194724611577746
abuse,2005-2009,0,4.385576404020313,4.385576404020313,0.053430820328735806,0.053430820328735806
abuse,2005-2009,100,4.5386927708455875,4.176614275187772,0.05108776943212241,0.05271558762979291
abuse,2005-2009,20,4.422860017156237,4.344527743664083,0.052189852359858145,0.05255109624130586
abuse,2005-2009,40,4.439094205700089,4.292444255409173,0.05210059542879025,0.05269946982693864
abuse,2005-2009,60,4.477378617903851,4.26174049707122,0.051709360636994814,0.05272682056871625
abuse,2005-2009,80,4.5073442332241,4.220482884947053,0.0512522174210839,0.05261743370220458
abuse,2010-2014,0,4.376675647053366,4.376675647053366,0.052960374037770805,0.052960374037770805
abuse,2010-2014,100,4.5098910615378855,4.175024950910535,0.0510673701781898,0.051816491110943094
abuse,2010-2014,20,4.424191595863086,4.350703873061888,0.05221950675953459,0.05249827056099436
abuse,2010-2014,40,4.450952685339501,4.312281773758878,0.05150099749601975,0.05191492499077206
abuse,2010-2014,60,4.472655118541601,4.274900261050542,0.05139691194861854,0.051999418262619626
abuse,2010-2014,80,4.499542596009862,4.234577253455146,0.05106850689877377,0.0517240882326068
abuse,2015-2019,0,4.440053618697144,4.440053618697144,0.05409869582834439,0.05409869582834439
abuse,2015-2019,100,4.630142904898574,4.241094149445462,0.052329631348205875,0.05484173474054878
abuse,2015-2019,20,4.473263625515552,4.394209091361181,0.05401877711789951,0.05450248062341269
abuse,2015-2019,40,4.5252050957622965,4.366540941256568,0.053405357149671984,0.05464331591962437
abuse,2015-2019,60,4.54884085867854,4.310675645836177,0.05235329637171434,0.05386504705070756
abuse,2015-2019,80,4.605970691976678,4.300782517404628,0.0520498266369134,0.05432345029987094
anxiety,1970-1974,0,4.141179038024201,4.141179038024201,0.050411760582793175,0.050411760582793175
anxiety,1970-1974,100,4.410914387519085,3.9603083480344097,0.05392420238418052,0.0506733895689236
anxiety,1970-1974,20,4.1949014016994495,4.091000945096887,0.051413309421790496,0.05041128626306831
anxiety,1970-1974,40,4.256137627522227,4.05812493107017,0.05290068523127105,0.051357410126396295
anxiety,1970-1974,60,4.302028327556636,4.0193515644208935,0.053685648096098534,0.05136061361734645
anxiety,1970-1974,80,4.356103826578987,3.9869605677676283,0.054056636196649854,0.05128024757135015
anxiety,1975-1979,0,4.143215761736895,4.143215761736895,0.04721987179423863,0.04721987179423863
anxiety,1975-1979,100,4.394933935852599,3.923705536764057,0.05280148358184924,0.04816967364901785
anxiety,1975-1979,20,4.21109587247772,4.1015842367365325,0.04861001239588274,0.04760639382568797
anxiety,1975-1979,40,4.276253531093815,4.061026203399607,0.049468704820748395,0.047574719351473775
anxiety,1975-1979,60,4.306631946218015,4.003749715384801,0.050685244898452254,0.047863602059528707
anxiety,1975-1979,80,4.341719463662231,3.959919082022112,0.05197452597297729,0.04799168529326492
anxiety,1980-1984,0,4.128989146602956,4.128989146602956,0.046091966288247944,0.046091966288247944
anxiety,1980-1984,100,4.347579976264534,3.882519940523257,0.05182478056815957,0.048840199566901485
anxiety,1980-1984,20,4.174769442584065,4.065093052893477,0.04797525875377654,0.04719814031586596
anxiety,1980-1984,40,4.2280372793749095,4.028358003835661,0.048804141224133665,0.04740988524619449
anxiety,1980-1984,60,4.2706119816891555,3.969918042405557,0.05038399132458068,0.04834064487695922
anxiety,1980-1984,80,4.308044054531268,3.933536261984149,0.051106230188651944,0.048795420096291627
anxiety,1985-1989,0,4.221739245715854,4.221739245715854,0.04952119793376362,0.04952119793376362
anxiety,1985-1989,100,4.432953841210842,3.943096265431816,0.05402801864878343,0.051197050996941496
anxiety,1985-1989,20,4.266221844245102,4.160891899350233,0.05054834505886776,0.0500261495441261
anxiety,1985-1989,40,4.308828717631398,4.104136433204632,0.05106112704391491,0.04994547944146767
anxiety,1985-1989,60,4.3583877354390275,4.0551641118356,0.05256984677530059,0.051154432467139965
anxiety,1985-1989,80,4.40680896068481,4.0042852435374865,0.05356665735892381,0.05171385519305718
anxiety,1990-1994,0,4.213011536613875,4.213011536613875,0.04868036143009902,0.04868036143009902
anxiety,1990-1994,100,4.435310264049854,3.963764956657317,0.050321280974683226,0.049344664925951506
anxiety,1990-1994,20,4.243387803924194,4.149275072245581,0.04928858848343992,0.04945378997621549
anxiety,1990-1994,40,4.292735118620985,4.092361224174306,0.04924631537365019,0.04925065953705421
anxiety,1990-1994,60,4.345781897606026,4.041118779507913,0.04989670544946132,0.04961283435935314
anxiety,1990-1994,80,4.4000204361699975,4.0083245723129615,0.05022371192292661,0.04971246630387331
anxiety,1995-1999,0,4.199744489758958,4.199744489758958,0.0479151721204449,0.0479151721204449
anxiety,1995-1999,100,4.489396890116446,4.0045646162861654,0.05108134026649234,0.05061136370431052
anxiety,1995-1999,20,4.272475395905797,4.16561525138994,0.05023921416107213,0.04974882220602469
anxiety,1995-1999,40,4.348633413026841,4.137330020184874,0.05038582935240236,0.04987831639703837
anxiety,1995-1999,60,4.3918129467520775,4.0867088754486005,0.05021688428416395,0.049722968060356844
anxiety,1995-1999,80,4.440608843439581,4.043683886275877,0.05101361198371923,0.05061115430782355
anxiety,2000-2004,0,4.2566750448884125,4.2566750448884125,0.04632711171372957,0.04632711171372957
anxiety,2000-2004,100,4.48913373693974,3.984734752819044,0.052169672753491034,0.051445821444073815
anxiety,2000-2004,20,4.307785981170442,4.193326888218597,0.04781551703609531,0.04789002360372464
anxiety,2000-2004,40,4.3533311966524835,4.13111353172949,0.04970911604600193,0.04932954576524363
anxiety,2000-2004,60,4.395960710409657,4.075422516634285,0.051482134626609756,0.05074201559478327
anxiety,2000-2004,80,4.4522395849925696,4.034523069635143,0.051758181966539904,0.05112376144565565
anxiety,2005-2009,0,4.237118851769244,4.237118851769244,0.04726872964151692,0.04726872964151692
anxiety,2005-2009,100,4.510210427607448,4.006959989781711,0.050861975602816724,0.050155378917539496
anxiety,2005-2009,20,4.30700740357968,4.197041225829944,0.04796437524246936,0.047767641470692894
anxiety,2005-2009,40,4.361419198966819,4.157600126889822,0.04851865553689295,0.04837701356999599
anxiety,2005-2009,60,4.383659599877587,4.086306492716593,0.04926293882094108,0.04890373682443455
anxiety,2005-2009,80,4.4620614127551,4.052718499518459,0.049919334929788416,0.04947547544796142
anxiety,2010-2014,0,4.243873336661762,4.243873336661762,0.04718008902502102,0.04718008902502102
anxiety,2010-2014,100,4.475471893607115,3.9773147673595255,0.052302805332525924,0.051329087896957684
anxiety,2010-2014,20,4.28955373339044,4.177065233871456,0.04883458959588964,0.04857833525195902
anxiety,2010-2014,40,4.335271233896963,4.124933602296531,0.050766693238583405,0.050168758476607046
anxiety,2010-2014,60,4.393735380985026,4.088289513641724,0.05078746253538331,0.050473445516359294
anxiety,2010-2014,80,4.4399605060881,4.043838973475888,0.0508394687398052,0.050457370372409896
anxiety,2015-2019,0,4.234623131054031,4.234623131054031,0.04599488669827666,0.04599488669827666
anxiety,2015-2019,100,4.513015378986324,4.000967871359592,0.05089476088254752,0.05053948576959644
anxiety,2015-2019,20,4.295565402866821,4.180317505514153,0.04773591525860432,0.04774694620112416
anxiety,2015-2019,40,4.354091503251693,4.128237941073018,0.0494634025597533,0.04905796859600576
anxiety,2015-2019,60,4.396787526155437,4.076031923990472,0.05056078826131265,0.04987791920968341
anxiety,2015-2019,80,4.46229991826913,4.05003613570266,0.05085628293353446,0.050611526555516206
depression,1970-1974,0,4.189031655979901,4.189031655979901,0.048732067238080726,0.048732067238080726
depression,1970-1974,100,4.509689381855077,3.86762820139566,0.05487305598342433,0.05552147863849444
depression,1970-1974,20,4.234494704755284,4.117601904397562,0.05014000743275619,0.050268056428173655
depression,1970-1974,40,4.3185707168512915,4.054806952794088,0.052089102847251934,0.05289629988099422
depression,1970-1974,60,4.379490309632523,3.9851550485487217,0.053354223784908617,0.053992219981084645
depression,1970-1974,80,4.450134975996674,3.926212331594948,0.05449861332193177,0.05527481865726437
depression,1975-1979,0,4.131263656887961,4.131263656887961,0.046960203136323694,0.046960203136323694
depression,1975-1979,100,4.4472543021119515,3.802757198487643,0.05343284466937037,0.052098479983443816
depression,1975-1979,20,4.20894560918543,4.061145278256647,0.04930402686902206,0.04954229672007991
depression,1975-1979,40,4.264930945427417,3.979961105528423,0.050937545764784896,0.050836106470595735
depression,1975-1979,60,4.325863568970952,3.913634143741347,0.05222093384952155,0.0515863495198185
depression,1975-1979,80,4.3941073186153226,3.8568618672903923,0.0528550528998866,0.052118545042670016
depression,1980-1984,0,4.171913722031854,4.171913722031854,0.04866757813938301,0.04866757813938301
depression,1980-1984,100,4.481246846293539,3.885346590023276,0.05127590748182167,0.05239845354927295
depression,1980-1984,20,4.241334566440558,4.118347819106013,0.049215469821242176,0.04936356651386762
depression,1980-1984,40,4.311757792659792,4.062809106531927,0.05088455516449901,0.051148591273599185
depression,1980-1984,60,4.3516721784160355,3.9883650182078596,0.05008243104761088,0.05025808925390168
depression,1980-1984,80,4.404527313145863,3.927328160447103,0.050965636872858856,0.0514330448827661
depression,1985-1989,0,4.154902106406525,4.154902106406525,0.04677546130425245,0.04677546130425245
depression,1985-1989,100,4.4355027686065664,3.877822323715806,0.0496576863583075,0.050310838776492395
depression,1985-1989,20,4.221731898381039,4.098438978381755,0.04803466281820708,0.04838342582592264
depression,1985-1989,40,4.278615665918651,4.032197193094765,0.04863326636238176,0.048982379642025696
depression,1985-1989,60,4.336390812388998,3.977714523789893,0.04945874756155831,0.04972272224138584
depression,1985-1989,80,4.383457678697078,3.9261840506394945,0.049651899808455774,0.05014163026644704
depression,1990-1994,0,4.177013921172794,4.177013921172794,0.05041812928634225,0.05041812928634225
depression,1990-1994,100,4.434990750150594,3.900829343791753,0.049892304014555064,0.050886511304597384
depression,1990-1994,20,4.23439833499699,4.123798167972299,0.050143521282670724,0.050677037624307274
depression,1990-1994,40,4.288466490450732,4.060533066545739,0.05057027848814257,0.05121011727010279
depression,1990-1994,60,4.340633567783561,4.016584262310639,0.0497352745966034,0.05068402378843636
depression,1990-1994,80,4.383208109850338,3.9455276894645217,0.049939401572601294,0.05082414600605032
depression,1995-1999,0,4.152917280223403,4.152917280223403,0.04902674205692548,0.04902674205692548
depression,1995-1999,100,4.4308908817384856,3.885572986178682,0.05141988514161504,0.05240248278808794
depression,1995-1999,20,4.205103054880482,4.09784029921631,0.05044445726746323,0.05073989302608278
depression,1995-1999,40,4.254197007004733,4.038953731223583,0.051473784196700664,0.052168960951515256
depression,1995-1999,60,4.313383296521666,3.9782482215889603,0.05185633754764938,0.05230907909425865
depression,1995-1999,80,4.381321804791046,3.938522093975377,0.05177307777537467,0.05256703318529876
depression,2000-2004,0,4.177870295962719,4.177870295962719,0.04756466159534035,0.04756466159534035
depression,2000-2004,100,4.424074448258265,3.8789771593173734,0.05023208843080649,0.05131518227343325
depression,2000-2004,20,4.234040931464529,4.113171072146466,0.0490422732826435,0.0495810901685337
depression,2000-2004,40,4.280627864080418,4.04862679715309,0.04983277973074362,0.05115624143415961
depression,2000-2004,60,4.334839533790486,3.9843162032876855,0.05016732110125276,0.051513386586921305
depression,2000-2004,80,4.388282221472668,3.9400978067021306,0.0505118046811318,0.051987721225135765
depression,2005-2009,0,4.179576901082826,4.179576901082826,0.04785918881426125,0.04785918881426125
depression,2005-2009,100,4.448070887769634,3.8570912923659337,0.05111536546701365,0.05271081714043531
depression,2005-2009,20,4.2286599681730745,4.112899575108918,0.04878968600776409,0.0492211298361647
depression,2005-2009,40,4.290560942394826,4.045386505633525,0.04981408058447993,0.050631716024531835
depression,2005-2009,60,4.3531659744095235,3.992057596999344,0.05021867869783333,0.05170487047089478
depression,2005-2009,80,4.39211364202856,3.9079511198409733,0.050474745113501716,0.051955584889153125
depression,2010-2014,0,4.176290715508943,4.176290715508943,0.049734217177725575,0.049734217177725575
depression,2010-2014,100,4.435348010771519,3.8800156781695003,0.05180742734880691,0.052834264392824556
depression,2010-2014,20,4.23245379039412,4.112045205455883,0.051003086223116015,0.05133686489704812
depression,2010-2014,40,4.276994961101376,4.042847969006549,0.050870182543874556,0.0517994024242984
depression,2010-2014,60,4.317375733853018,3.9756315960224313,0.05012634711714873,0.051038994471483926
depression,2010-2014,80,4.382114778178201,3.9280540889569666,0.05152537534680335,0.05230372691262131
depression,2015-2019,0,4.196063775533142,4.196063775533142,0.04792181539433965,0.04792181539433965
depression,2015-2019,100,4.435789059581455,3.867373884419839,0.05064809563294394,0.05174748096070719
depression,2015-2019,20,4.23486496392746,4.107317685099994,0.04905729672492078,0.04971000352557002
depression,2015-2019,40,4.287193689476351,4.044237430659247,0.05062071935208716,0.05141063469812257
depression,2015-2019,60,4.322901463452299,3.9612510108973695,0.05078745580555184,0.051667538571975036
depression,2015-2019,80,4.38165132101943,3.918658462504214,0.0508565529546221,0.05199815588386929
mental_health,1970-1974,0,3.987133305594841,3.987133305594841,0.03940338496140146,0.03940338496140146
mental_health,1970-1974,100,4.213108618335147,3.919522939832963,0.045133896455776853,0.038574543044089
mental_health,1970-1974,20,4.047068264538025,3.9829866814862314,0.04047067074526713,0.038915818078345196
mental_health,1970-1974,40,4.086262896698995,3.9661491287841706,0.04261062512466447,0.03978824412468106
mental_health,1970-1974,60,4.144174032192342,3.962483432422533,0.04318238060346645,0.0391133097452557
mental_health,1970-1974,80,4.18039347061693,3.9440362664070014,0.04427390879069428,0.039011843971496304
mental_health,1975-1979,0,3.9498920026370046,3.9498920026370046,0.039069622799525985,0.039069622799525985
mental_health,1975-1979,100,4.166813236606058,3.8490939820115386,0.04413463698970249,0.038184977750885515
mental_health,1975-1979,20,3.9831134020873273,3.917947097970651,0.040271285809477544,0.0388961181392529
mental_health,1975-1979,40,4.020467334834872,3.8927343363331155,0.04173162560429979,0.03887313579282528
mental_health,1975-1979,60,4.072497682972424,3.8727229977301314,0.04268656632101731,0.03853546845663407
mental_health,1975-1979,80,4.114624015388255,3.8576772238316934,0.04352790104572291,0.038386991513192706
mental_health,1980-1984,0,3.985734861898668,3.985734861898668,0.041230597882325457,0.041230597882325457
mental_health,1980-1984,100,4.23833442110493,3.8869203638715866,0.049266481260382126,0.04202527975241002
mental_health,1980-1984,20,4.043495194658826,3.968917950341967,0.043162260364582004,0.0416131297321954
