target,dimension,condition,20_0,40_0,60_0,80_0,100_0
trauma,sentiment,positive,0.118857,0.117172,0.117706,0.116302,0.115534
anxiety,sentiment,positive,0.055869,0.055653,0.055558,0.053946,0.054704
depression,sentiment,positive,0.094065,0.097398,0.098458,0.101352,0.100725
mental_health,sentiment,positive,0.064248,0.064378,0.064302,0.06388,0.064169
mental_illness,sentiment,positive,0.020129,0.020412,0.02012,0.020362,0.020104
abuse,sentiment,positive,0.305909,0.303638,0.302514,0.302317,0.300527
trauma,sentiment,negative,0.118745,0.119075,0.121639,0.12045,0.119777
anxiety,sentiment,negative,0.056047,0.05692,0.055873,0.05506,0.055377
depression,sentiment,negative,0.095053,0.094727,0.094964,0.095189,0.095666
mental_health,sentiment,negative,0.064273,0.064362,0.064279,0.064893,0.064215
mental_illness,sentiment,negative,0.020156,0.020404,0.020117,0.02009,0.019865
abuse,sentiment,negative,0.305785,0.304554,0.303316,0.303851,0.304567
trauma,breadth,high,0.125781,0.135496,0.140007,0.150517,0.154541
anxiety,breadth,high,0.061498,0.063943,0.072092,0.076374,0.081377
depression,breadth,high,0.108208,0.123775,0.141984,0.152202,0.170317
mental_health,breadth,high,0.068329,0.072687,0.076746,0.082163,0.086268
mental_illness,breadth,high,0.024147,0.028362,0.033014,0.03763,0.042668
abuse,breadth,high,0.309053,0.315202,0.322565,0.328809,0.335862
trauma,intensity,high,0.122228,0.121323,0.124587,0.127013,0.126532
anxiety,intensity,high,0.055936,0.056174,0.054651,0.054553,0.053435
depression,intensity,high,0.09356,0.091144,0.092651,0.091458,0.090663
mental_health,intensity,high,0.06418,0.064973,0.064417,0.064111,0.063847
mental_illness,intensity,high,0.020544,0.020559,0.020871,0.020996,0.021078
abuse,intensity,high,0.304353,0.304945,0.30467,0.309609,0.308953
trauma,intensity,low,0.121736,0.121472,0.124087,0.126284,0.128259
anxiety,intensity,low,0.056195,0.056182,0.054861,0.055503,0.054404
depression,intensity,low,0.094375,0.092034,0.092429,0.091371,0.088995
mental_health,intensity,low,0.064376,0.065277,0.064445,0.064832,0.065519
mental_illness,intensity,low,0.020303,0.020298,0.0205,0.020198,0.020273
abuse,intensity,low,0.304133,0.303926,0.30459,0.304505,0.302741
