dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,positive,trauma,all,0,0.00649982,0.0044504437
sentiment,positive,trauma,all,20,0.006225243,0.004269171
sentiment,positive,trauma,all,40,0.006261516,0.004409279
sentiment,positive,trauma,all,60,0.0062718727,0.0043248446
sentiment,positive,trauma,all,80,0.0061332723,0.004237763
sentiment,positive,trauma,all,100,0.0060874894,0.004259431
sentiment,positive,anxiety,all,0,0.0072725005,0.0063517955
sentiment,positive,anxiety,all,20,0.0075437906,0.0068244985
sentiment,positive,anxiety,all,40,0.0076794126,0.006898288
sentiment,positive,anxiety,all,60,0.007726824,0.0066141062
sentiment,positive,anxiety,all,80,0.007601751,0.0065019154
sentiment,positive,anxiety,all,100,0.007688771,0.0064569656
sentiment,positive,depression,all,0,0.0058753095,0.005358323
sentiment,positive,depression,all,20,0.005782116,0.005153796
sentiment,positive,depression,all,40,0.0061653904,0.00565944
sentiment,positive,depression,all,60,0.0061162137,0.0055838055
sentiment,positive,depression,all,80,0.0060457005,0.005311723
sentiment,positive,depression,all,100,0.0061141998,0.0055215266
sentiment,positive,abuse,all,0,0.005437057,0.0044587483
sentiment,positive,abuse,all,20,0.005489849,0.0044213897
sentiment,positive,abuse,all,40,0.0056564817,0.0048619634
sentiment,positive,abuse,all,60,0.0056204023,0.0048172097
sentiment,positive,abuse,all,80,0.0055791573,0.004812514
sentiment,positive,abuse,all,100,0.005398862,0.00463964
